Unnamed: 0,match_id,match_number,date,start_time,result,player_id_of_the_match,player_name_of_the_match,series_id,series_name,status,toss_winner,toss_selection,venue_id,venue_name,home_team_id,home_team_name,season
0,1,Match 1,7/26/2014,20:00,U Mumba beat Jaipur Pink Panthers (45 - 31),29.0,29.0,1,"Pro Kabaddi League Season 1, 2014",Full Time,5,Choice of court : Right,5,"DOME@NSCI SVP Stadium, Mumbai",5.0,U Mumba,7
1,10,Match 10,7/31/2014,21:00,Bengal Warriors beat Dabang Delhi (42 - 40),12.0,12.0,1,"Pro Kabaddi League Season 1, 2014",Full Time,2,Choice of court : Left,4,"Netaji Subhash Chandra Bose Indoor Stadium, Kolkata",4.0,Bengal Warriors,7
2,100,Match 39,8/9/2015,21:00,Dabang Delhi beat Patna Pirates (45-26),58.0,58.0,2,"Pro Kabaddi League, 2015",Full Time,6,Choice of court :Left,2,"Thyagaraj Sports Complex, Delhi",,Patna Pirates,3
3,101,Match 40,8/10/2015,20:00,Jaipur Pink Panthers beat Dabang Delhi (51-21),,,2,"Pro Kabaddi League, 2015",Full Time,3,Choice of court :Left,2,"Thyagaraj Sports Complex, Delhi",,Dabang Delhi,4
4,102,Match 41,8/11/2015,20:00,Jaipur Pink Panthers beat Puneri Paltan (31-18),86.0,86.0,2,"Pro Kabaddi League, 2015",Full Time,7,Choice of court :Left,2,"Thyagaraj Sports Complex, Delhi",,Jaipur Pink Panthers,5
5,103,Match 42,8/11/2015,21:00,Match Tied,58.0,58.0,2,"Pro Kabaddi League, 2015",Full Time,8,Choice of court :Right,2,"Thyagaraj Sports Complex, Delhi",,,3
6,104,Match 43,8/12/2015,20:00,U Mumba beat Bengaluru Bulls (36-29),94.0,94.0,2,"Pro Kabaddi League, 2015",Full Time,1,Choice of court :Right,1,"Sree Kanteerava Stadium, Bengaluru",,U Mumba,2
7,105,Match 44,8/13/2015,20:00,Bengal Warriors beat Puneri Paltan (31-28),141.0,141.0,2,"Pro Kabaddi League, 2015",Full Time,7,Choice of court :Left,1,"Sree Kanteerava Stadium, Bengaluru",,Puneri Paltan,7
8,1050,Match 11,10/12/2018,20:00,Match Tied,,,32,"Testing Pro Kabaddi League Season 6, 2018",Full Time,28,Choice of court :Left,14,"Motilal Nehru School of Sports, Rai, Sonepat",28.0,Haryana Steelers,2
9,1051,Match 15,10/14/2018,20:00,,,,32,"Testing Pro Kabaddi League Season 6, 2018",2nd Half,6,Choice of court :Left,14,"Motilal Nehru School of Sports, Rai, Sonepat",,,1
10,106,Match 45,8/13/2015,21:00,Jaipur Pink Panthers beat Bengaluru Bulls (27-25),190.0,190.0,2,"Pro Kabaddi League, 2015",Full Time,3,Choice of court :Left,1,"Sree Kanteerava Stadium, Bengaluru",,Jaipur Pink Panthers,6
11,107,Match 46,8/14/2015,20:00,Patna Pirates beat Bengal Warriors (34-32),46.0,46.0,2,"Pro Kabaddi League, 2015",Full Time,4,Choice of court :Right,1,"Sree Kanteerava Stadium, Bengaluru",,Bengal Warriors,1
