player_name,offense_points,defense_points,overall_points,total_seasons,primary_position
Aashish Nagar,0.0,4.663867925108096,1.9197477120486584,1,"Defender, right corner"
Abhishek Singh,30.5183724860341,3.913269582089225,17.295692057601634,2,Raider
Abolfazl Maghsodloumahali,21.57335412875779,2.8063113323278444,11.811486780640216,4,Raider
Abozar Mohajermighani,0.15993718911880286,55.33628364445941,24.908515433702288,3,Defender
Adarsh T,0.22722459539389986,28.820247580923567,12.079693477573056,2,"Defender, left corner"
Adinath Sakharam Gavali,0.0,18.459597863059134,7.438039687229073,1,"Defender, right and left cover"
Ajay,0.0,13.438090314893984,5.537837751973854,2,Defender
Ajay Kumar,33.99369442893998,0.04461020934881196,16.921554917646144,3,Raider
Ajay Singh,0.0,24.60495146635799,9.896181128548616,1,"Defender, left corner"
Ajay Thakur,46.087524807378145,3.2559277566382634,26.01690096366309,7,Raider
Ajeet,0.0,25.74319191463391,11.056084353929446,1,"Defender, right cover"
Ajinkya Ashok Pawar,20.042204301456074,2.5181504739055303,11.517366842393965,2,Raider
Ajinkya Rohidas Kapre,0.3381411903481978,0.0,0.18945701814469917,1,All Rounder
Ajit Singh,14.11926074719706,0.0,6.514912970965545,2,Raider
Ajvender Singh,6.6000000000000005,0.18867924579853285,2.7696722403248337,1,Raider
Akshay Jadhav,9.445902126698869,17.052070415454537,12.279405819029385,2,Raider
Aman,0.0,7.404881573935672,3.0161531715796888,1,"Defender, left corner"
Aman Kadian,7.582343582585653,0.0,3.1413385170451016,1,Raider
Aman Kumar,0.0,14.014851915606014,5.714341850253247,1,"Defender, left cover"
Amit,0.32965377507079074,27.381736908500244,11.789163319498877,2,"Defender, left cover"
Amit Hooda,0.4750731205664165,61.49110284790393,26.873191254596815,6,"Defender, right corner"
Amit Kharb,0.0,13.201933883773995,5.389174637520439,1,"Defender, right cover"
Amit Kumar,15.787181280100793,30.7187437390192,19.58368508395666,3,Raider
Amit Kumar Tomar,12.197114660381656,4.1557813255926055,6.974762730433065,1,Raider
Amit Nagar,9.66806441348264,5.523341665451359,6.699868664635931,2,Raider
Amit Om Prakash Rathi,14.36038631782134,7.488597640773293,9.679069644865134,3,Raider
Amit Sheoran,0.0,51.093572796192895,22.36154835966957,2,Defender
Amit Singh Chhillar,0.07594501752647996,44.31743021264173,18.570358222148585,4,"Defender, left corner"
Anand,10.42477345848011,0.0,4.549313177429984,2,Raider
Anand Patil,13.867279498749237,0.0,6.793524265624356,2,Raider
Anand Surendra Tomar,16.028718627854023,0.19182389987770587,6.976021889141472,1,Raider
Anand V,10.412676617529142,0.0,4.3276722730279165,1,Raider
Anil Kashinath Patil,4.570420695944412,0.0,2.261772614421125,1,All Rounder
Anil Kumar,1.1783324879818418,23.71792064977107,10.419205862147235,5,"Defender, left cover"
Anil Shriram Nimbolkar,16.360392513104955,16.37902265506242,14.125576365369932,1,Raider
Ankit,0.0,22.0164258111362,9.185974118492421,2,Defender
Ankit Beniwal,9.660557922914421,0.2697523585942091,4.351527906641393,1,Raider
Ankush,9.266363742624778,0.24840504979428657,4.131110769000147,1,Raider
Anoop E.V.,3.9600000000000004,15.273519839765942,7.801809019917218,1,Raider
Anuj Kumar,0.2741088419572207,21.96627244164415,9.22135576547307,1,"Defender, right cover"
Anup Kumar,36.93954817761829,15.345082219448456,26.297772664698424,6,Raider
Arjun Deshwal,23.16142362365243,0.2557651993633038,11.399395854409546,2,Raider
Armaan,5.792523624564719,0.48319341154974116,3.160693318510825,2,All Rounder
Arun Kumar Hn,5.912037280271097,0.0,2.446115725116569,2,Raider
Ashish,6.207136427447104,0.0,2.753857281005942,1,Raider
Ashish Chhokar,8.945151366313949,4.695118543306071,6.133614738915759,2,Raider
Ashish Kumar,2.636357269719745,34.24590017887278,16.162117071577935,6,"Defender, right cover"
Ashu Singh,0.0,43.76827303715536,18.808122222992225,1,"Defender, right cover"
Athul Ms,19.14322492375925,0.3163075337467031,9.554364021846103,3,Raider
Atif Waheed,0.0,6.217657971651081,2.5412637306658525,1,All Rounder
Azad Singh,11.331756934848237,0.1438679251080973,5.349057532058415,2,Raider
Babu M,0.0,20.183333200384258,8.181734364164543,1,"Defender, left cover"
Bajirao Hodage,0.0,35.47193418273877,15.04694892151466,6,"Defender, right cover"
Balbir Singh,1.6542058769982366,0.0,0.932685060826395,2,All Rounder
Baldev Singh,0.10228769484275153,60.10978690263556,26.03604935118645,2,"Defender, right corner"
Balram,1.4514344916765614,0.0,0.6889748806814646,1,All Rounder
Banty,13.976950671419033,0.48976314787134373,6.382891489775772,1,Raider
Bhanu Pratap Tomar,10.667016757452402,0.0,4.754611581029741,1,Raider
Bhavani Rajput,13.409499719561504,0.0,5.526401513840862,1,Raider
Bhupender Singh,7.6009972626758415,4.003631655593538,5.766512813920219,4,All Rounder
Bhuvneshwar Gaur,6.345243458716952,0.0,2.863300635519302,1,Raider
C Manoj Kumar,2.768377452025018,12.74786873539332,6.965306063043217,1,"Defender, left cover"
C. Arun,0.2039965739051395,37.792824526027765,16.17433819607072,6,"Defender, left cover"
Chand Singh,0.3272024579417297,24.71463131319181,10.287736218480516,1,"Defender, left corner"
Chandran Ranjit,25.986517188068422,3.0242752155588724,14.737108289364196,5,Raider
Cpo Surjeet Singh,24.70939609874166,2.808906238982135,13.500545867338841,4,Raider
D. Gopu,0.22540492181435784,31.315212010546993,13.169092301399825,5,"Defender, right and left corner"
D. Pradap,2.5919651131506845,21.381118940690865,10.97134744267483,2,All Rounder
D. Suresh Kumar,0.0,44.7622360877172,19.021425600398533,5,"Defender, right cover"
Dadaso Balaso Awad,1.140248954354473,27.30385081368772,11.973845869276499,2,All Rounder
Darshan J.,0.10447784715627677,34.044270074985896,14.933211905984242,2,"Defender, right cover"
Darshan Kadian,13.822221517698805,6.495544809884219,9.400819268160582,4,Raider
David Shilisia J Mosambayi,9.652793715398834,0.0,4.023719112175794,2,Raider
Deepak Dhull,0.14958839224147774,23.53804589249462,9.82735723692967,2,"Defender, left cover"
Deepak Kumar,0.0,30.947574123041655,12.622932088241052,2,"Defender, left corner"
Deepak Kumar Dahiya,21.40307818795651,2.0925942985002846,11.10558606775345,6,Raider
Deepak Kumar Rathee,2.6271991105073402,14.844967047694762,7.639272967345882,2,All Rounder
Deepak Narwal,22.946028565746417,2.781065148132409,13.055065127827953,6,Raider
Deepak Niwas Hooda,39.63934089375554,14.541227713443025,28.578925081284382,7,All Rounder
Deepak Yadav,0.0,45.89047438471327,18.789794089928673,1,"Defender, right cover"
Dharmaraj Cheralathan,2.0884239213023155,56.84041718295634,25.824730402214495,7,"Defender, right and left corner"
Dharmender,9.989797792913564,0.0,4.266921827192526,1,Raider
Dinesh Kumar,8.716857895548868,0.0,4.516553456322528,1,All Rounder
Dong Geon Lee,13.448105129821103,0.0,6.643921365388242,3,Raider
Dong Ju Hong,0.2121331084726182,0.0,0.13905378539446736,1,All Rounder
Dovlet Boshimov,9.404638029631219,0.0,3.978657379874168,1,Raider
E Subash,0.0,11.859339438309988,4.852136859334837,2,All Rounder
Ehsan Zamani Fard,1.1525127199993015,15.53355771392974,6.999631425604138,1,"Defender, left corner"
Elangeshwaran R,4.577375617592754,15.224165451990068,8.78782509991985,1,All Rounder
Elavarasan A,0.0,33.19379115623142,13.494318630514249,1,"Defender, left cover"
Emad Sedaghatnia,6.232010361219114,0.0,2.5470046864930658,1,Raider
Farhad Kamal Gharibi,0.0,5.326363828478123,2.2389466154020896,1,"Defender, left corner"
Farhad Rahimi Milaghardan,5.080523764918802,29.168063627282294,15.759055553086403,3,All Rounder
Fazel Atrachali,0.1992565809049682,64.74807244095638,28.589591048672272,6,"Defender, left corner"
G.S. Manikandan,0.0,16.984992274896204,7.092099890988292,2,"Defender, left cover"
Gangadhari Mallesh,10.496725945910583,12.123406513179457,9.603608539191573,4,Raider
Gaurav Kumar,10.765031874881672,0.0,4.414413833963509,1,Raider
Girish Maruti Ernak,0.450625376912865,56.34711767724458,24.724517275863523,7,"Defender, left corner"
Gnanasekaran M,1.593979907602409,18.313314852138735,8.342321697934398,1,"Defender, right corner"
Gokul Shitole,0.0,15.264759424674356,6.214304853880583,1,"Defender, right corner"
Gulveer Singh,5.765509365530047,0.0,2.468805372228279,1,Raider
Gurpreet Singh,0.47208282642104604,22.114799235977237,9.793560413035197,2,"Defender, right corner"
Gurvinder Singh,13.193913829617287,7.520808378783546,9.116963860776774,5,Raider
Hadi Oshtorak,0.5115824454178088,29.58366614590288,13.004675768958265,6,All Rounder
Hadi Tajik,0.4776819569849635,18.862526702630248,8.097420410548885,3,"Defender, right corner"
Hardeep Duhan,0.0,9.647322359600945,3.9131294858457983,1,"Defender, right corner"
Harendra Kumar,0.0,25.438198467262918,10.879886432975628,1,"Defender, left cover"
Harish Naik,15.788174943461843,0.0,7.534782172506689,2,Raider
Harmanjit Singh,5.812341464196179,0.0,2.541738753700152,1,Raider
Harvinder Singh,0.0,48.22378691500846,19.723119102046745,1,"Defender, right cover"
Hyunil Park,0.5042160724349767,0.21853355665365498,0.4517014776517129,1,All Rounder
Inderpal Bishnoi,11.97115057831748,0.0,4.842660773332412,1,Raider
Isac Antony,10.002503032205563,4.8093227662495535,6.3312343844226975,2,Raider
Jadhav Balasaheb Shahaji,0.0,41.51325686560355,17.743514128355244,1,"Defender, right cover"
Jagdeesha K.K.,0.0,23.431928606067764,9.643774152454206,1,"Defender, right corner"
Jaideep,0.0,61.69274638288399,27.748462600127397,3,"Defender, left corner"
Jang Kun Lee,29.99242752122959,5.2084464104544805,17.634356541314745,7,Raider
Jasmer Singh Gulia,0.0,27.782754334044597,12.052577795045122,3,All Rounder
Jasvir Singh,27.646148079435918,9.178587280313703,18.451664694938692,6,Raider
Jawahar Dagar,3.5464027998706236,24.617731403545292,12.132862353453087,4,Defender
Jay Bahadur Bohara,8.808804154871924,0.0,3.63192274595961,1,Raider
Jeeva Gopal,0.0,16.643891818501498,6.874358895422279,3,"Defender, left cover"
Jeeva Kumar,0.04927643003824476,50.36618795746059,21.885117230028573,7,"Defender, right and left cover"
Jishnu,0.0,7.641145365323617,3.1106586881348672,1,"Defender, right cover"
Jitesh Joshi,10.788957382695614,17.75496713582876,13.287488506596745,2,All Rounder
Joginder Singh Narwal,0.2729805106500178,49.10035635171799,21.537952631126068,5,"Defender, left corner"
K. Prapanjan,27.029964208606415,0.7778709362890951,14.348066307280698,6,Raider
Kalimuthu Balamahendran,4.478762424342927,36.60893663247643,17.600391275844274,2,"Defender, left corner"
Kamal Singh,7.862579394448094,2.5499684909546487,4.625723761207168,2,Raider
Kashiling Adake,42.24841918008795,9.448063499571436,26.112197407907118,4,Raider
Kazuhiro Takano,0.349473885417527,0.0,0.19399009617243085,1,All Rounder
Kedar Lal,15.932597889203642,0.29765777475994354,7.196709311655895,1,Raider
Krushna Madane,0.13705442097861034,26.67838712169743,11.132680682111069,2,Defender
