pattern,support,gain
doordie_success_U_Mumba_vs_Puneri_Paltan_none_early_single||doordie_success_U_Mumba_vs_Puneri_Paltan_none_early_single||doordie_success_U_Mumba_vs_Puneri_Paltan_none_early_single,7,13.0
doordie_unknown_U_Mumba_vs_Puneri_Paltan_none_early_zero||doordie_success_U_Mumba_vs_Puneri_Paltan_none_early_single||doordie_unknown_U_Mumba_vs_Puneri_Paltan_none_early_zero,7,13.0
doordie_success_U_Mumba_vs_Puneri_Paltan_none_early_single||doordie_unknown_U_Mumba_vs_Puneri_Paltan_none_early_zero,13,12.0
doordie_unknown_U_Mumba_vs_Puneri_Paltan_none_early_zero||doordie_success_U_Mumba_vs_Puneri_Paltan_none_early_single,12,11.0
doordie_success_U_Mumba_vs_Puneri_Paltan_none_early_single||doordie_unknown_U_Mumba_vs_Puneri_Paltan_none_early_zero||doordie_unknown_U_Mumba_vs_Puneri_Paltan_none_early_zero,6,11.0
doordie_success_U_Mumba_vs_Puneri_Paltan_none_early_single||doordie_success_U_Mumba_vs_Puneri_Paltan_none_early_single,11,10.0
doordie_unknown_U_Mumba_vs_Puneri_Paltan_none_early_zero||doordie_unknown_U_Mumba_vs_Puneri_Paltan_none_early_zero,9,8.0
doordie_unknown_U_Mumba_vs_Puneri_Paltan_none_early_zero,34,-1.0
doordie_success_U_Mumba_vs_Puneri_Paltan_none_early_single,30,-1.0
bonus_success_Telugu_Titans_vs_Puneri_Paltan_null_early_zero,5,-1.0
