pattern,support,gain
empty_unknown_Puneri_Paltan_vs_Bengal_Warriors_none_early_zero||empty_unknown_Puneri_Paltan_vs_Bengal_Warriors_none_early_zero,3,2.0
bonus_success_Puneri_Paltan_vs_Bengal_Warriors_unknown_early_zero||empty_unknown_Puneri_Paltan_vs_Bengal_Warriors_none_early_zero,1,0.0
empty_unknown_Puneri_Paltan_vs_Bengal_Warriors_none_early_zero||regular_success_Puneri_Paltan_vs_Bengal_Warriors_none_early_single,1,0.0
regular_success_Puneri_Paltan_vs_Bengal_Warriors_none_early_single||bonus_success_Puneri_Paltan_vs_Bengal_Warriors_none_early_zero,1,0.0
bonus_success_Puneri_Paltan_vs_Bengal_Warriors_none_early_zero||empty_unknown_Puneri_Paltan_vs_Bengal_Warriors_none_early_zero,1,0.0
empty_unknown_Puneri_Paltan_vs_Bengal_Warriors_none_early_zero,6,-1.0
bonus_success_Puneri_Paltan_vs_Bengal_Warriors_unknown_early_zero,1,-1.0
regular_success_Puneri_Paltan_vs_Bengal_Warriors_none_early_single,1,-1.0
bonus_success_Puneri_Paltan_vs_Bengal_Warriors_none_early_zero,1,-1.0
doordie_success_Puneri_Paltan_vs_Bengal_Warriors_none_early_single,1,-1.0
