pattern,support,gain
regular_success_Puneri_Paltan_vs_Telugu_Titans_none_early_single||regular_success_Puneri_Paltan_vs_Telugu_Titans_none_early_single||regular_success_Puneri_Paltan_vs_Telugu_Titans_none_early_single,7,13.0
regular_success_Puneri_Paltan_vs_Telugu_Titans_none_early_single||regular_success_Puneri_Paltan_vs_Telugu_Titans_none_early_single||regular_success_Puneri_Paltan_vs_Telugu_Titans_none_early_single||regular_success_Puneri_Paltan_vs_Telugu_Titans_none_early_single,4,11.0
regular_success_Puneri_Paltan_vs_Telugu_Titans_none_early_single||regular_success_Puneri_Paltan_vs_Telugu_Titans_none_early_single,11,10.0
empty_unknown_Puneri_Paltan_vs_Telugu_Titans_none_early_zero||bonus_success_Puneri_Paltan_vs_Telugu_Titans_unknown_early_zero,3,2.0
regular_success_Puneri_Paltan_vs_Telugu_Titans_none_early_high||regular_success_Puneri_Paltan_vs_Telugu_Titans_none_early_single,3,2.0
empty_unknown_Puneri_Paltan_vs_Telugu_Titans_none_early_zero||regular_success_Puneri_Paltan_vs_Telugu_Titans_none_early_single,3,2.0
regular_success_Puneri_Paltan_vs_Telugu_Titans_none_early_single,18,-1.0
empty_unknown_Puneri_Paltan_vs_Telugu_Titans_none_early_zero,9,-1.0
bonus_success_Puneri_Paltan_vs_Telugu_Titans_unknown_early_zero,7,-1.0
regular_success_Puneri_Paltan_vs_Telugu_Titans_none_early_high,4,-1.0
