pattern,support,gain
doordie_success_Tamil_Thalaivas_vs_U.P._Yoddha_none_early_single||doordie_unknown_Tamil_Thalaivas_vs_U.P._Yoddha_none_early_zero,12,11.0
doordie_unknown_Tamil_Thalaivas_vs_U.P._Yoddha_none_early_zero||doordie_unknown_Tamil_Thalaivas_vs_U.P._Yoddha_none_early_zero,10,9.0
doordie_unknown_Tamil_Thalaivas_vs_U.P._Yoddha_none_early_zero||doordie_success_Tamil_Thalaivas_vs_U.P._Yoddha_none_early_single||doordie_success_Tamil_Thalaivas_vs_U.P._Yoddha_none_early_single,5,9.0
doordie_unknown_Tamil_Thalaivas_vs_U.P._Yoddha_none_early_zero||doordie_success_Tamil_Thalaivas_vs_U.P._Yoddha_none_early_single,8,7.0
doordie_success_Tamil_Thalaivas_vs_U.P._Yoddha_none_early_single||doordie_success_Tamil_Thalaivas_vs_U.P._Yoddha_none_early_single,8,7.0
doordie_success_Tamil_Thalaivas_vs_U.P._Yoddha_none_early_single||doordie_success_Tamil_Thalaivas_vs_U.P._Yoddha_none_early_single||doordie_unknown_Tamil_Thalaivas_vs_U.P._Yoddha_none_early_zero,4,7.0
doordie_unknown_Tamil_Thalaivas_vs_U.P._Yoddha_none_early_zero,30,-1.0
doordie_success_Tamil_Thalaivas_vs_U.P._Yoddha_none_early_single,23,-1.0
bonus_success_Tamil_Thalaivas_vs_U.P._Yoddha_null_early_zero,6,-1.0
empty_unknown_Tamil_Thalaivas_vs_U.P._Yoddha_none_early_zero,4,-1.0
