pattern,support,gain
bonus_success_Tamil_Thalaivas_vs_Bengal_Warriorz_unknown_early_zero||empty_unknown_Tamil_Thalaivas_vs_Bengal_Warriorz_none_early_zero,4,3.0
regular_success_Tamil_Thalaivas_vs_Bengal_Warriorz_none_early_single||bonus_success_Tamil_Thalaivas_vs_Bengal_Warriorz_unknown_early_zero||empty_unknown_Tamil_Thalaivas_vs_Bengal_Warriorz_none_early_zero,2,3.0
empty_unknown_Tamil_Thalaivas_vs_Bengal_Warriorz_none_early_zero||bonus_success_Tamil_Thalaivas_vs_Bengal_Warriorz_unknown_early_zero,2,1.0
bonus_success_Tamil_Thalaivas_vs_Bengal_Warriorz_unknown_early_zero||bonus_success_Tamil_Thalaivas_vs_Bengal_Warriorz_unknown_early_zero,2,1.0
regular_success_Tamil_Thalaivas_vs_Bengal_Warriorz_none_early_single||bonus_success_Tamil_Thalaivas_vs_Bengal_Warriorz_unknown_early_zero,2,1.0
regular_success_Tamil_Thalaivas_vs_Bengal_Warriorz_none_early_single||empty_unknown_Tamil_Thalaivas_vs_Bengal_Warriorz_none_early_zero,1,0.0
bonus_success_Tamil_Thalaivas_vs_Bengal_Warriorz_unknown_early_zero,7,-1.0
empty_unknown_Tamil_Thalaivas_vs_Bengal_Warriorz_none_early_zero,6,-1.0
regular_success_Tamil_Thalaivas_vs_Bengal_Warriorz_none_early_single,3,-1.0
regular_success_Tamil_Thalaivas_vs_Bengal_Warriorz_none_early_high,1,-1.0
