pattern,support,gain
empty_unknown_Tamil_Thalaivas_vs_Gujarat_Giants_none_early_zero||empty_unknown_Tamil_Thalaivas_vs_Gujarat_Giants_none_early_zero,12,11.0
doordie_success_Tamil_Thalaivas_vs_Gujarat_Giants_none_early_single||doordie_success_Tamil_Thalaivas_vs_Gujarat_Giants_none_early_single,9,8.0
regular_success_Tamil_Thalaivas_vs_Gujarat_Giants_none_early_single||empty_unknown_Tamil_Thalaivas_vs_Gujarat_Giants_none_early_zero,7,6.0
doordie_success_Tamil_Thalaivas_vs_Gujarat_Giants_none_early_single||doordie_unknown_Tamil_Thalaivas_vs_Gujarat_Giants_none_early_zero,6,5.0
doordie_unknown_Tamil_Thalaivas_vs_Gujarat_Giants_none_early_zero||doordie_success_Tamil_Thalaivas_vs_Gujarat_Giants_none_early_single,6,5.0
empty_unknown_Tamil_Thalaivas_vs_Gujarat_Giants_none_early_zero,24,-1.0
doordie_success_Tamil_Thalaivas_vs_Gujarat_Giants_none_early_single,21,-1.0
regular_success_Tamil_Thalaivas_vs_Gujarat_Giants_none_early_single,16,-1.0
doordie_unknown_Tamil_Thalaivas_vs_Gujarat_Giants_none_early_zero,15,-1.0
bonus_success_Tamil_Thalaivas_vs_Gujarat_Giants_unknown_early_zero,10,-1.0
