pattern,support,gain
doordie_success_Tamil_Thalaivas_vs_Telugu_Titans_none_early_single||doordie_unknown_Tamil_Thalaivas_vs_Telugu_Titans_none_early_zero,12,11.0
empty_unknown_Tamil_Thalaivas_vs_Telugu_Titans_none_early_zero||empty_unknown_Tamil_Thalaivas_vs_Telugu_Titans_none_early_zero,10,9.0
doordie_unknown_Tamil_Thalaivas_vs_Telugu_Titans_none_early_zero||doordie_success_Tamil_Thalaivas_vs_Telugu_Titans_none_early_single,9,8.0
doordie_unknown_Tamil_Thalaivas_vs_Telugu_Titans_none_early_zero||doordie_unknown_Tamil_Thalaivas_vs_Telugu_Titans_none_early_zero,7,6.0
doordie_unknown_Tamil_Thalaivas_vs_Telugu_Titans_none_early_zero,29,-1.0
empty_unknown_Tamil_Thalaivas_vs_Telugu_Titans_none_early_zero,27,-1.0
doordie_success_Tamil_Thalaivas_vs_Telugu_Titans_none_early_single,21,-1.0
regular_success_Tamil_Thalaivas_vs_Telugu_Titans_none_early_single,12,-1.0
bonus_success_Tamil_Thalaivas_vs_Telugu_Titans_null_early_zero,7,-1.0
bonus_success_Tamil_Thalaivas_vs_Telugu_Titans_unknown_early_zero,6,-1.0
