pattern,support,gain
bonus_success_Puneri_Paltan_vs_Jaipur_Pink_Panthers_null_early_zero||bonus_success_Puneri_Paltan_vs_Jaipur_Pink_Panthers_null_early_zero,6,5.0
bonus_success_Puneri_Paltan_vs_Jaipur_Pink_Panthers_null_early_zero||doordie_unknown_Puneri_Paltan_vs_Jaipur_Pink_Panthers_none_early_zero,5,4.0
doordie_unknown_Puneri_Paltan_vs_Jaipur_Pink_Panthers_none_early_zero||doordie_success_Puneri_Paltan_vs_Jaipur_Pink_Panthers_none_early_single,4,3.0
doordie_unknown_Puneri_Paltan_vs_Jaipur_Pink_Panthers_none_early_zero||doordie_unknown_Puneri_Paltan_vs_Jaipur_Pink_Panthers_none_early_zero,3,2.0
empty_unknown_Puneri_Paltan_vs_Jaipur_Pink_Panthers_none_early_zero||empty_unknown_Puneri_Paltan_vs_Jaipur_Pink_Panthers_none_early_zero,3,2.0
bonus_success_Puneri_Paltan_vs_Jaipur_Pink_Panthers_null_early_zero,16,-1.0
doordie_unknown_Puneri_Paltan_vs_Jaipur_Pink_Panthers_none_early_zero,10,-1.0
empty_unknown_Puneri_Paltan_vs_Jaipur_Pink_Panthers_none_early_zero,7,-1.0
regular_success_Puneri_Paltan_vs_Jaipur_Pink_Panthers_none_early_single,6,-1.0
doordie_success_Puneri_Paltan_vs_Jaipur_Pink_Panthers_none_early_single,5,-1.0
