pattern,support,gain
doordie_unknown_Puneri_Paltan_vs_Tamil_Thalaivas_none_early_zero||doordie_success_Puneri_Paltan_vs_Tamil_Thalaivas_none_early_single||doordie_unknown_Puneri_Paltan_vs_Tamil_Thalaivas_none_early_zero,4,7.0
doordie_unknown_Puneri_Paltan_vs_Tamil_Thalaivas_none_early_zero||doordie_success_Puneri_Paltan_vs_Tamil_Thalaivas_none_early_single,6,5.0
bonus_success_Puneri_Paltan_vs_Tamil_Thalaivas_null_early_zero||bonus_success_Puneri_Paltan_vs_Tamil_Thalaivas_null_early_zero,4,3.0
bonus_success_Puneri_Paltan_vs_Tamil_Thalaivas_null_early_zero||doordie_unknown_Puneri_Paltan_vs_Tamil_Thalaivas_none_early_zero,4,3.0
doordie_success_Puneri_Paltan_vs_Tamil_Thalaivas_none_early_single||doordie_unknown_Puneri_Paltan_vs_Tamil_Thalaivas_none_early_zero,4,3.0
doordie_success_Puneri_Paltan_vs_Tamil_Thalaivas_none_early_single||doordie_success_Puneri_Paltan_vs_Tamil_Thalaivas_none_early_single,3,2.0
doordie_success_Puneri_Paltan_vs_Tamil_Thalaivas_none_early_single,12,-1.0
bonus_success_Puneri_Paltan_vs_Tamil_Thalaivas_null_early_zero,12,-1.0
doordie_unknown_Puneri_Paltan_vs_Tamil_Thalaivas_none_early_zero,10,-1.0
bonus_success_Puneri_Paltan_vs_Tamil_Thalaivas_unknown_early_zero,3,-1.0
