pattern,support,gain
doordie_success_Puneri_Paltan_vs_Telugu_Titans_none_early_single||bonus_success_Puneri_Paltan_vs_Telugu_Titans_null_early_zero,2,1.0
doordie_success_Puneri_Paltan_vs_Telugu_Titans_none_early_single||doordie_unknown_Puneri_Paltan_vs_Telugu_Titans_none_early_zero,2,1.0
regular_success_Puneri_Paltan_vs_Telugu_Titans_none_early_high||empty_unknown_Puneri_Paltan_vs_Telugu_Titans_none_early_zero,2,1.0
bonus_success_Puneri_Paltan_vs_Telugu_Titans_null_early_zero,6,-1.0
regular_success_Puneri_Paltan_vs_Telugu_Titans_none_early_single,5,-1.0
doordie_success_Puneri_Paltan_vs_Telugu_Titans_none_early_single,4,-1.0
empty_unknown_Puneri_Paltan_vs_Telugu_Titans_none_early_zero,4,-1.0
doordie_unknown_Puneri_Paltan_vs_Telugu_Titans_none_early_zero,3,-1.0
regular_success_Puneri_Paltan_vs_Telugu_Titans_none_early_high,2,-1.0
bonus_success_Puneri_Paltan_vs_Telugu_Titans_unknown_early_zero,2,-1.0
