pattern,support,gain
doordie_success_Puneri_Paltan_vs_U.P._Yoddhas_none_early_single||doordie_unknown_Puneri_Paltan_vs_U.P._Yoddhas_none_early_zero,4,3.0
doordie_unknown_Puneri_Paltan_vs_U.P._Yoddhas_none_early_zero||doordie_success_Puneri_Paltan_vs_U.P._Yoddhas_none_early_single,3,2.0
doordie_success_Puneri_Paltan_vs_U.P._Yoddhas_none_early_single||doordie_success_Puneri_Paltan_vs_U.P._Yoddhas_none_early_high,2,1.0
doordie_success_Puneri_Paltan_vs_U.P._Yoddhas_none_early_high||doordie_unknown_Puneri_Paltan_vs_U.P._Yoddhas_none_early_zero,2,1.0
doordie_unknown_Puneri_Paltan_vs_U.P._Yoddhas_none_early_zero,8,-1.0
doordie_success_Puneri_Paltan_vs_U.P._Yoddhas_none_early_single,8,-1.0
bonus_success_Puneri_Paltan_vs_U.P._Yoddhas_unknown_early_zero,6,-1.0
doordie_success_Puneri_Paltan_vs_U.P._Yoddhas_none_early_high,4,-1.0
empty_unknown_Puneri_Paltan_vs_U.P._Yoddhas_none_early_zero,4,-1.0
regular_success_Puneri_Paltan_vs_U.P._Yoddhas_none_early_single,3,-1.0
