pattern,support,gain
empty_unknown_nan_vs_Bengaluru_Bulls_none_early_zero||empty_unknown_nan_vs_Bengaluru_Bulls_none_early_zero,10,9.0
empty_unknown_nan_vs_Bengaluru_Bulls_none_early_zero||empty_unknown_nan_vs_Bengaluru_Bulls_none_early_zero||regular_success_nan_vs_Bengaluru_Bulls_none_early_single,5,9.0
empty_unknown_nan_vs_Bengaluru_Bulls_none_early_zero||regular_success_nan_vs_Bengaluru_Bulls_none_early_single,7,6.0
bonus_success_nan_vs_Bengaluru_Bulls_unknown_early_zero||empty_unknown_nan_vs_Bengaluru_Bulls_none_early_zero,5,4.0
empty_unknown_nan_vs_Bengaluru_Bulls_none_early_zero||bonus_success_nan_vs_Bengaluru_Bulls_unknown_early_zero,5,4.0
empty_unknown_nan_vs_Bengaluru_Bulls_none_early_zero,27,-1.0
regular_success_nan_vs_Bengaluru_Bulls_none_early_single,14,-1.0
bonus_success_nan_vs_Bengaluru_Bulls_unknown_early_zero,11,-1.0
doordie_success_nan_vs_Bengaluru_Bulls_none_early_single,6,-1.0
regular_success_nan_vs_Bengaluru_Bulls_none_early_high,4,-1.0
