pattern,support,gain
doordie_success_Puneri_Paltan_vs_U.P._Yoddha_none_early_single||doordie_unknown_Puneri_Paltan_vs_U.P._Yoddha_none_early_zero,4,3.0
doordie_unknown_Telugu_Titans_vs_U.P._Yoddha_none_early_zero||doordie_unknown_Telugu_Titans_vs_U.P._Yoddha_none_early_zero,3,2.0
doordie_unknown_Puneri_Paltan_vs_U.P._Yoddha_none_early_zero||doordie_unknown_Puneri_Paltan_vs_U.P._Yoddha_none_early_zero,3,2.0
doordie_unknown_Puneri_Paltan_vs_U.P._Yoddha_none_early_zero||doordie_success_Puneri_Paltan_vs_U.P._Yoddha_none_early_single,3,2.0
doordie_unknown_Puneri_Paltan_vs_U.P._Yoddha_none_early_zero||bonus_success_Puneri_Paltan_vs_U.P._Yoddha_null_early_zero,2,1.0
doordie_unknown_Puneri_Paltan_vs_U.P._Yoddha_none_early_zero,8,-1.0
doordie_success_Puneri_Paltan_vs_U.P._Yoddha_none_early_single,5,-1.0
doordie_unknown_Telugu_Titans_vs_U.P._Yoddha_none_early_zero,4,-1.0
bonus_success_Puneri_Paltan_vs_U.P._Yoddha_null_early_zero,3,-1.0
bonus_success_Patna_Pirates_vs_U.P._Yoddha_null_early_zero,2,-1.0
