pattern,support,gain
allout_success_Haryana_Steelers_vs_Puneri_Paltan_none_early_high||doordie_success_Haryana_Steelers_vs_Puneri_Paltan_none_early_high,1,0.0
doordie_success_Haryana_Steelers_vs_Puneri_Paltan_none_early_high||doordie_success_Haryana_Steelers_vs_Puneri_Paltan_none_early_single,1,0.0
doordie_success_Haryana_Steelers_vs_Puneri_Paltan_none_early_single,2,-1.0
doordie_unknown_Haryana_Steelers_vs_Puneri_Paltan_none_early_zero,2,-1.0
bonus_success_Haryana_Steelers_vs_Puneri_Paltan_left_corner_early_zero,2,-1.0
allout_success_Haryana_Steelers_vs_Puneri_Paltan_none_early_high,1,-1.0
doordie_success_Haryana_Steelers_vs_Puneri_Paltan_none_early_high,1,-1.0
bonus_success_Haryana_Steelers_vs_Puneri_Paltan_all_rounder_early_zero,1,-1.0
bonus_success_Haryana_Steelers_vs_Puneri_Paltan_unknown_early_zero,1,-1.0
regular_unknown_Haryana_Steelers_vs_Puneri_Paltan_none_early_zero,1,-1.0
