pattern,support,gain
doordie_unknown_Tamil_Thalaivas_vs_Telugu_Titans_none_early_zero||doordie_unknown_Tamil_Thalaivas_vs_Telugu_Titans_none_early_zero,2,1.0
bonus_success_Bengal_Warriors_vs_Telugu_Titans_null_early_zero||bonus_success_Bengal_Warriors_vs_Telugu_Titans_null_early_zero,1,0.0
bonus_success_Bengal_Warriors_vs_Telugu_Titans_null_early_zero||regular_success_Bengal_Warriors_vs_Telugu_Titans_none_early_single,1,0.0
regular_success_Bengal_Warriors_vs_Telugu_Titans_none_early_single||empty_unknown_Bengal_Warriors_vs_Telugu_Titans_none_early_zero,1,0.0
empty_unknown_Bengal_Warriors_vs_Telugu_Titans_none_early_zero,4,-1.0
doordie_unknown_Tamil_Thalaivas_vs_Telugu_Titans_none_early_zero,3,-1.0
bonus_success_Bengal_Warriors_vs_Telugu_Titans_null_early_zero,2,-1.0
regular_success_Bengal_Warriors_vs_Telugu_Titans_none_early_single,2,-1.0
bonus_success_Bengal_Warriors_vs_Telugu_Titans_unknown_early_zero,2,-1.0
doordie_success_Bengal_Warriors_vs_Telugu_Titans_none_early_single,1,-1.0
