pattern,support,gain
regular_success_Bengaluru_Bulls_vs_U_Mumba_none_early_single||bonus_success_Bengaluru_Bulls_vs_U_Mumba_unknown_early_zero||empty_unknown_Bengaluru_Bulls_vs_U_Mumba_none_early_zero,5,9.0
bonus_success_Bengaluru_Bulls_vs_U_Mumba_unknown_early_zero||empty_unknown_Bengaluru_Bulls_vs_U_Mumba_none_early_zero,9,8.0
regular_success_Bengaluru_Bulls_vs_U_Mumba_none_early_single||bonus_success_Bengaluru_Bulls_vs_U_Mumba_unknown_early_zero,8,7.0
empty_unknown_Bengaluru_Bulls_vs_U_Mumba_none_early_zero||regular_success_Bengaluru_Bulls_vs_U_Mumba_none_early_single,7,6.0
empty_unknown_Bengaluru_Bulls_vs_U_Mumba_none_early_zero||empty_unknown_Bengaluru_Bulls_vs_U_Mumba_none_early_zero,4,3.0
empty_unknown_Bengaluru_Bulls_vs_U_Mumba_none_early_zero||bonus_success_Bengaluru_Bulls_vs_U_Mumba_unknown_early_zero,4,3.0
empty_unknown_Bengaluru_Bulls_vs_U_Mumba_none_early_zero,19,-1.0
bonus_success_Bengaluru_Bulls_vs_U_Mumba_unknown_early_zero,16,-1.0
regular_success_Bengaluru_Bulls_vs_U_Mumba_none_early_single,15,-1.0
doordie_success_Bengaluru_Bulls_vs_U_Mumba_none_early_single,5,-1.0
