pattern,support,gain
doordie_success_Telugu_Titans_vs_Bengaluru_Bulls_none_early_single||doordie_unknown_Telugu_Titans_vs_Bengaluru_Bulls_none_early_zero,8,7.0
doordie_unknown_Telugu_Titans_vs_Bengaluru_Bulls_none_early_zero||bonus_success_Telugu_Titans_vs_Bengaluru_Bulls_null_early_zero||doordie_unknown_Telugu_Titans_vs_Bengaluru_Bulls_none_early_zero,4,7.0
doordie_unknown_Telugu_Titans_vs_Bengaluru_Bulls_none_early_zero||bonus_success_Telugu_Titans_vs_Bengaluru_Bulls_null_early_zero,5,4.0
bonus_success_Telugu_Titans_vs_Bengaluru_Bulls_null_early_zero||doordie_unknown_Telugu_Titans_vs_Bengaluru_Bulls_none_early_zero,5,4.0
doordie_unknown_Telugu_Titans_vs_Bengaluru_Bulls_none_early_zero||doordie_success_Telugu_Titans_vs_Bengaluru_Bulls_none_early_single,4,3.0
doordie_success_Telugu_Titans_vs_Bengaluru_Bulls_none_early_single||doordie_success_Telugu_Titans_vs_Bengaluru_Bulls_none_early_single,4,3.0
doordie_unknown_Telugu_Titans_vs_Bengaluru_Bulls_none_early_zero||doordie_unknown_Telugu_Titans_vs_Bengaluru_Bulls_none_early_zero,3,2.0
doordie_unknown_Telugu_Titans_vs_Bengaluru_Bulls_none_early_zero,16,-1.0
doordie_success_Telugu_Titans_vs_Bengaluru_Bulls_none_early_single,13,-1.0
bonus_success_Telugu_Titans_vs_Bengaluru_Bulls_null_early_zero,9,-1.0
