pattern,support,gain
regular_success_Dabang_Delhi_vs_Haryana_Steelers_none_early_single||regular_success_Dabang_Delhi_vs_Haryana_Steelers_none_early_single,6,5.0
empty_unknown_Dabang_Delhi_vs_Haryana_Steelers_none_early_zero||empty_unknown_Dabang_Delhi_vs_Haryana_Steelers_none_early_zero,4,3.0
bonus_success_Dabang_Delhi_vs_Haryana_Steelers_unknown_early_zero||regular_success_Dabang_Delhi_vs_Haryana_Steelers_none_early_single,3,2.0
regular_success_Dabang_Delhi_vs_Haryana_Steelers_none_early_single||empty_unknown_Dabang_Delhi_vs_Haryana_Steelers_none_early_zero,3,2.0
empty_unknown_Dabang_Delhi_vs_Haryana_Steelers_none_early_zero||regular_success_Dabang_Delhi_vs_Haryana_Steelers_none_early_single,3,2.0
regular_success_Dabang_Delhi_vs_Haryana_Steelers_none_early_single||bonus_success_Dabang_Delhi_vs_Haryana_Steelers_unknown_early_zero,3,2.0
regular_success_Dabang_Delhi_vs_Haryana_Steelers_none_early_single,15,-1.0
empty_unknown_Dabang_Delhi_vs_Haryana_Steelers_none_early_zero,11,-1.0
bonus_success_Dabang_Delhi_vs_Haryana_Steelers_unknown_early_zero,8,-1.0
regular_success_Dabang_Delhi_vs_Haryana_Steelers_none_early_high,3,-1.0
