pattern,support,gain
empty_unknown_Patna_Pirates_vs_Dabang_Delhi_K.C._none_early_zero||empty_unknown_Patna_Pirates_vs_Dabang_Delhi_K.C._none_early_zero||empty_unknown_Patna_Pirates_vs_Dabang_Delhi_K.C._none_early_zero,14,27.0
empty_unknown_Patna_Pirates_vs_Dabang_Delhi_K.C._none_early_zero||empty_unknown_Patna_Pirates_vs_Dabang_Delhi_K.C._none_early_zero||empty_unknown_Patna_Pirates_vs_Dabang_Delhi_K.C._none_early_zero||empty_unknown_Patna_Pirates_vs_Dabang_Delhi_K.C._none_early_zero,8,23.0
empty_unknown_Patna_Pirates_vs_Dabang_Delhi_K.C._none_early_zero||empty_unknown_Patna_Pirates_vs_Dabang_Delhi_K.C._none_early_zero,22,21.0
regular_success_Patna_Pirates_vs_Dabang_Delhi_K.C._none_early_single||empty_unknown_Patna_Pirates_vs_Dabang_Delhi_K.C._none_early_zero,11,10.0
empty_unknown_Patna_Pirates_vs_Dabang_Delhi_K.C._none_early_zero||regular_success_Patna_Pirates_vs_Dabang_Delhi_K.C._none_early_single,10,9.0
empty_unknown_Patna_Pirates_vs_Dabang_Delhi_K.C._none_early_zero,37,-1.0
regular_success_Patna_Pirates_vs_Dabang_Delhi_K.C._none_early_single,18,-1.0
bonus_success_Patna_Pirates_vs_Dabang_Delhi_K.C._unknown_early_zero,12,-1.0
doordie_success_U_Mumba_vs_Dabang_Delhi_K.C._none_early_single,10,-1.0
bonus_success_U_Mumba_vs_Dabang_Delhi_K.C._unknown_early_zero,9,-1.0
