pattern,support,gain
doordie_unknown_U_Mumba_vs_U.P._Yoddhas_none_early_zero||doordie_unknown_U_Mumba_vs_U.P._Yoddhas_none_early_zero||doordie_unknown_U_Mumba_vs_U.P._Yoddhas_none_early_zero,3,5.0
doordie_unknown_U_Mumba_vs_U.P._Yoddhas_none_early_zero||doordie_unknown_U_Mumba_vs_U.P._Yoddhas_none_early_zero||doordie_unknown_U_Mumba_vs_U.P._Yoddhas_none_early_zero||doordie_unknown_U_Mumba_vs_U.P._Yoddhas_none_early_zero,2,5.0
doordie_unknown_U_Mumba_vs_U.P._Yoddhas_none_early_zero||doordie_unknown_U_Mumba_vs_U.P._Yoddhas_none_early_zero,5,4.0
doordie_unknown_U_Mumba_vs_U.P._Yoddhas_none_early_zero||bonus_success_U_Mumba_vs_U.P._Yoddhas_unknown_early_zero||doordie_unknown_U_Mumba_vs_U.P._Yoddhas_none_early_zero,2,3.0
doordie_unknown_U_Mumba_vs_U.P._Yoddhas_none_early_zero||bonus_success_U_Mumba_vs_U.P._Yoddhas_unknown_early_zero,3,2.0
bonus_success_U_Mumba_vs_U.P._Yoddhas_unknown_early_zero||doordie_unknown_U_Mumba_vs_U.P._Yoddhas_none_early_zero,2,1.0
doordie_unknown_U_Mumba_vs_U.P._Yoddhas_none_early_zero,10,-1.0
bonus_success_U_Mumba_vs_U.P._Yoddhas_unknown_early_zero,3,-1.0
bonus_success_Patna_Pirates_vs_U.P._Yoddhas_unknown_early_zero,3,-1.0
doordie_success_U_Mumba_vs_U.P._Yoddhas_none_early_single,2,-1.0
