pattern,support,gain
regular_success_Dabang_Delhi_vs_U_Mumba_none_early_single||regular_success_Dabang_Delhi_vs_U_Mumba_none_early_single,11,10.0
regular_success_Dabang_Delhi_vs_U_Mumba_none_early_single||regular_success_Dabang_Delhi_vs_U_Mumba_none_early_single||regular_success_Dabang_Delhi_vs_U_Mumba_none_early_single,5,9.0
doordie_unknown_Dabang_Delhi_vs_U_Mumba_none_early_zero||doordie_unknown_Dabang_Delhi_vs_U_Mumba_none_early_zero,4,3.0
empty_unknown_Dabang_Delhi_vs_U_Mumba_none_early_zero||bonus_success_Dabang_Delhi_vs_U_Mumba_unknown_early_zero,4,3.0
bonus_success_Dabang_Delhi_vs_U_Mumba_unknown_early_zero||regular_success_Dabang_Delhi_vs_U_Mumba_none_early_single,4,3.0
regular_success_Dabang_Delhi_vs_U_Mumba_none_early_single,21,-1.0
doordie_unknown_Dabang_Delhi_vs_U_Mumba_none_early_zero,10,-1.0
bonus_success_Dabang_Delhi_vs_U_Mumba_unknown_early_zero,10,-1.0
empty_unknown_Dabang_Delhi_vs_U_Mumba_none_early_zero,9,-1.0
doordie_success_Dabang_Delhi_vs_U_Mumba_none_early_single,7,-1.0
