pattern,support,gain
empty_unknown_Puneri_Paltan_vs_U.P._Yoddhas_none_early_zero||empty_unknown_Puneri_Paltan_vs_U.P._Yoddhas_none_early_zero,8,7.0
regular_success_Puneri_Paltan_vs_U.P._Yoddhas_none_early_single||empty_unknown_Puneri_Paltan_vs_U.P._Yoddhas_none_early_zero||empty_unknown_Puneri_Paltan_vs_U.P._Yoddhas_none_early_zero,3,5.0
empty_unknown_Puneri_Paltan_vs_U.P._Yoddhas_none_early_zero||empty_unknown_Puneri_Paltan_vs_U.P._Yoddhas_none_early_zero||empty_unknown_Puneri_Paltan_vs_U.P._Yoddhas_none_early_zero,3,5.0
regular_success_Puneri_Paltan_vs_U.P._Yoddhas_none_early_single||empty_unknown_Puneri_Paltan_vs_U.P._Yoddhas_none_early_zero,3,2.0
empty_unknown_Puneri_Paltan_vs_U.P._Yoddhas_none_early_zero||regular_success_Puneri_Paltan_vs_U.P._Yoddhas_none_early_single,3,2.0
empty_unknown_Puneri_Paltan_vs_U.P._Yoddhas_none_early_zero,17,-1.0
regular_success_Puneri_Paltan_vs_U.P._Yoddhas_none_early_single,5,-1.0
doordie_success_Puneri_Paltan_vs_U.P._Yoddhas_none_early_single,3,-1.0
bonus_success_Puneri_Paltan_vs_U.P._Yoddhas_unknown_early_zero,3,-1.0
regular_success_Puneri_Paltan_vs_U.P._Yoddhas_none_early_high,2,-1.0
