pattern,support,gain
bonus_success_Tamil_Thalaivas_vs_Telugu_Titans_null_early_zero||doordie_success_Tamil_Thalaivas_vs_Telugu_Titans_none_early_single,3,2.0
doordie_unknown_Tamil_Thalaivas_vs_Telugu_Titans_none_early_zero||doordie_success_Tamil_Thalaivas_vs_Telugu_Titans_none_early_single,3,2.0
doordie_success_Tamil_Thalaivas_vs_Telugu_Titans_none_early_single||bonus_success_Tamil_Thalaivas_vs_Telugu_Titans_right_cover_early_zero,2,1.0
doordie_success_Tamil_Thalaivas_vs_Telugu_Titans_none_early_single||bonus_success_Tamil_Thalaivas_vs_Telugu_Titans_unknown_early_zero,2,1.0
doordie_success_Tamil_Thalaivas_vs_Telugu_Titans_none_early_single,10,-1.0
doordie_unknown_Tamil_Thalaivas_vs_Telugu_Titans_none_early_zero,6,-1.0
bonus_success_Tamil_Thalaivas_vs_Telugu_Titans_null_early_zero,5,-1.0
bonus_success_Tamil_Thalaivas_vs_Telugu_Titans_unknown_early_zero,4,-1.0
bonus_success_Tamil_Thalaivas_vs_Telugu_Titans_right_cover_early_zero,2,-1.0
bonus_success_Tamil_Thalaivas_vs_Telugu_Titans_left_cover_early_zero,2,-1.0
