pattern,support,gain
doordie_success_Bengaluru_Bulls_vs_Haryana_Steelers_none_early_single||doordie_success_Bengaluru_Bulls_vs_Haryana_Steelers_none_early_single||doordie_success_Bengaluru_Bulls_vs_Haryana_Steelers_none_early_single,6,11.0
doordie_success_Bengaluru_Bulls_vs_Haryana_Steelers_none_early_single||doordie_success_Bengaluru_Bulls_vs_Haryana_Steelers_none_early_single,10,9.0
bonus_success_Bengaluru_Bulls_vs_Haryana_Steelers_null_early_zero||doordie_unknown_Bengaluru_Bulls_vs_Haryana_Steelers_none_early_zero,5,4.0
doordie_unknown_Bengaluru_Bulls_vs_Haryana_Steelers_none_early_zero||bonus_success_Bengaluru_Bulls_vs_Haryana_Steelers_null_early_zero,5,4.0
doordie_success_Bengaluru_Bulls_vs_Haryana_Steelers_none_early_single,16,-1.0
doordie_unknown_Bengaluru_Bulls_vs_Haryana_Steelers_none_early_zero,11,-1.0
empty_unknown_Bengaluru_Bulls_vs_Haryana_Steelers_none_early_zero,11,-1.0
regular_success_Bengaluru_Bulls_vs_Haryana_Steelers_none_early_single,11,-1.0
bonus_success_Bengaluru_Bulls_vs_Haryana_Steelers_null_early_zero,9,-1.0
bonus_success_Bengaluru_Bulls_vs_Haryana_Steelers_unknown_early_zero,7,-1.0
