pattern,support,gain
regular_success_Bengaluru_Bulls_vs_Telugu_Titans_none_early_single||regular_success_Bengaluru_Bulls_vs_Telugu_Titans_none_early_single,38,37.0
regular_success_Bengaluru_Bulls_vs_Telugu_Titans_none_early_single||regular_success_Bengaluru_Bulls_vs_Telugu_Titans_none_early_single||regular_success_Bengaluru_Bulls_vs_Telugu_Titans_none_early_single,18,35.0
bonus_success_Bengaluru_Bulls_vs_Telugu_Titans_unknown_early_zero||regular_success_Bengaluru_Bulls_vs_Telugu_Titans_none_early_single,15,14.0
regular_success_Bengaluru_Bulls_vs_Telugu_Titans_none_early_single||empty_unknown_Bengaluru_Bulls_vs_Telugu_Titans_none_early_zero,14,13.0
regular_success_Bengaluru_Bulls_vs_Telugu_Titans_none_early_single,82,-1.0
empty_unknown_Bengaluru_Bulls_vs_Telugu_Titans_none_early_zero,45,-1.0
bonus_success_Bengaluru_Bulls_vs_Telugu_Titans_unknown_early_zero,42,-1.0
doordie_success_Bengaluru_Bulls_vs_Telugu_Titans_none_early_single,31,-1.0
doordie_unknown_Bengaluru_Bulls_vs_Telugu_Titans_none_early_zero,16,-1.0
bonus_success_Bengaluru_Bulls_vs_Telugu_Titans_null_early_zero,15,-1.0
