pattern,support,gain
empty_unknown_Bengaluru_Bulls_vs_U_Mumba_none_early_zero||empty_unknown_Bengaluru_Bulls_vs_U_Mumba_none_early_zero||empty_unknown_Bengaluru_Bulls_vs_U_Mumba_none_early_zero,4,7.0
doordie_success_Bengaluru_Bulls_vs_U_Mumba_none_early_single||doordie_success_Bengaluru_Bulls_vs_U_Mumba_none_early_single,6,5.0
empty_unknown_Bengaluru_Bulls_vs_U_Mumba_none_early_zero||empty_unknown_Bengaluru_Bulls_vs_U_Mumba_none_early_zero,6,5.0
doordie_success_Bengaluru_Bulls_vs_U_Mumba_none_early_single,14,-1.0
empty_unknown_Bengaluru_Bulls_vs_U_Mumba_none_early_zero,13,-1.0
bonus_success_Bengaluru_Bulls_vs_U_Mumba_null_early_zero,7,-1.0
doordie_unknown_Bengaluru_Bulls_vs_U_Mumba_none_early_zero,5,-1.0
regular_success_Bengaluru_Bulls_vs_U_Mumba_none_early_single,5,-1.0
bonus_success_Bengaluru_Bulls_vs_U_Mumba_unknown_early_zero,4,-1.0
doordie_success_Bengaluru_Bulls_vs_U_Mumba_none_early_high,3,-1.0
