pattern,support,gain
empty_unknown_Tamil_Thalaivas_vs_Dabang_Delhi_K.C._none_early_zero||empty_unknown_Tamil_Thalaivas_vs_Dabang_Delhi_K.C._none_early_zero,11,10.0
empty_unknown_Tamil_Thalaivas_vs_Dabang_Delhi_K.C._none_early_zero||bonus_success_Tamil_Thalaivas_vs_Dabang_Delhi_K.C._unknown_early_zero||empty_unknown_Tamil_Thalaivas_vs_Dabang_Delhi_K.C._none_early_zero,5,9.0
bonus_success_Tamil_Thalaivas_vs_Dabang_Delhi_K.C._unknown_early_zero||empty_unknown_Tamil_Thalaivas_vs_Dabang_Delhi_K.C._none_early_zero,7,6.0
empty_unknown_Tamil_Thalaivas_vs_Dabang_Delhi_K.C._none_early_zero||bonus_success_Tamil_Thalaivas_vs_Dabang_Delhi_K.C._unknown_early_zero,7,6.0
regular_success_Tamil_Thalaivas_vs_Dabang_Delhi_K.C._none_early_single||empty_unknown_Tamil_Thalaivas_vs_Dabang_Delhi_K.C._none_early_zero,4,3.0
empty_unknown_Tamil_Thalaivas_vs_Dabang_Delhi_K.C._none_early_zero,24,-1.0
bonus_success_Tamil_Thalaivas_vs_Dabang_Delhi_K.C._unknown_early_zero,11,-1.0
regular_success_Tamil_Thalaivas_vs_Dabang_Delhi_K.C._none_early_single,8,-1.0
doordie_success_Tamil_Thalaivas_vs_Dabang_Delhi_K.C._none_early_single,6,-1.0
doordie_unknown_Tamil_Thalaivas_vs_Dabang_Delhi_K.C._none_early_zero,4,-1.0
