pattern,support,gain
empty_unknown_Tamil_Thalaivas_vs_Haryana_Steelers_none_early_zero||empty_unknown_Tamil_Thalaivas_vs_Haryana_Steelers_none_early_zero,8,7.0
bonus_success_Tamil_Thalaivas_vs_Haryana_Steelers_unknown_early_zero||regular_success_Tamil_Thalaivas_vs_Haryana_Steelers_none_early_single,4,3.0
bonus_success_Tamil_Thalaivas_vs_Haryana_Steelers_unknown_early_zero||bonus_success_Tamil_Thalaivas_vs_Haryana_Steelers_unknown_early_zero,4,3.0
empty_unknown_Tamil_Thalaivas_vs_Haryana_Steelers_none_early_zero||bonus_success_Tamil_Thalaivas_vs_Haryana_Steelers_unknown_early_zero,4,3.0
empty_unknown_Tamil_Thalaivas_vs_Haryana_Steelers_none_early_zero,23,-1.0
bonus_success_Tamil_Thalaivas_vs_Haryana_Steelers_unknown_early_zero,11,-1.0
regular_success_Tamil_Thalaivas_vs_Haryana_Steelers_none_early_single,9,-1.0
doordie_success_Tamil_Thalaivas_vs_Haryana_Steelers_none_early_single,5,-1.0
bonus_success_Tamil_Thalaivas_vs_Haryana_Steelers_null_early_zero,4,-1.0
bonus_success_Tamil_Thalaivas_vs_Haryana_Steelers_nan_early_zero,3,-1.0
