pattern,support,gain
doordie_success_nan_vs_Jaipur_Pink_Panthers_none_early_single||doordie_unknown_nan_vs_Jaipur_Pink_Panthers_none_early_zero,3,2.0
bonus_success_nan_vs_Jaipur_Pink_Panthers_unknown_early_zero||doordie_success_nan_vs_Jaipur_Pink_Panthers_none_early_single,2,1.0
doordie_success_nan_vs_Jaipur_Pink_Panthers_none_early_single||doordie_success_nan_vs_Jaipur_Pink_Panthers_none_early_single,2,1.0
doordie_unknown_nan_vs_Jaipur_Pink_Panthers_none_early_zero||doordie_success_nan_vs_Jaipur_Pink_Panthers_none_early_single,1,0.0
doordie_success_nan_vs_Jaipur_Pink_Panthers_none_early_single||doordie_success_nan_vs_Jaipur_Pink_Panthers_none_early_high,1,0.0
doordie_success_nan_vs_Jaipur_Pink_Panthers_none_early_single,6,-1.0
bonus_success_nan_vs_Jaipur_Pink_Panthers_unknown_early_zero,3,-1.0
doordie_unknown_nan_vs_Jaipur_Pink_Panthers_none_early_zero,3,-1.0
doordie_success_nan_vs_Jaipur_Pink_Panthers_none_early_high,1,-1.0
regular_success_nan_vs_Jaipur_Pink_Panthers_none_early_single,1,-1.0
