pattern,support,gain
doordie_success_Gujarat_Giants_vs_Patna_Pirates_none_early_single||doordie_success_Gujarat_Giants_vs_Patna_Pirates_none_early_single,5,4.0
doordie_unknown_Gujarat_Giants_vs_Patna_Pirates_none_early_zero||doordie_success_Gujarat_Giants_vs_Patna_Pirates_none_early_single,3,2.0
bonus_success_Bengaluru_Bulls_vs_Patna_Pirates_null_early_zero||bonus_success_Bengaluru_Bulls_vs_Patna_Pirates_null_early_zero,3,2.0
doordie_unknown_Bengaluru_Bulls_vs_Patna_Pirates_none_early_zero||doordie_success_Bengaluru_Bulls_vs_Patna_Pirates_none_early_single,3,2.0
doordie_success_Gujarat_Giants_vs_Patna_Pirates_none_early_single,11,-1.0
doordie_unknown_Gujarat_Giants_vs_Patna_Pirates_none_early_zero,6,-1.0
bonus_success_Bengaluru_Bulls_vs_Patna_Pirates_null_early_zero,6,-1.0
doordie_success_Bengaluru_Bulls_vs_Patna_Pirates_none_early_single,6,-1.0
doordie_unknown_Bengaluru_Bulls_vs_Patna_Pirates_none_early_zero,5,-1.0
bonus_success_Gujarat_Giants_vs_Patna_Pirates_raider_early_zero,3,-1.0
