pattern,support,gain
doordie_unknown_U_Mumba_vs_Bengaluru_Bulls_none_early_zero||doordie_success_U_Mumba_vs_Bengaluru_Bulls_none_early_single,4,3.0
doordie_unknown_U_Mumba_vs_Bengaluru_Bulls_none_early_zero||doordie_unknown_U_Mumba_vs_Bengaluru_Bulls_none_early_zero,4,3.0
doordie_unknown_U_Mumba_vs_Bengaluru_Bulls_none_early_zero||doordie_success_U_Mumba_vs_Bengaluru_Bulls_none_early_single||doordie_unknown_U_Mumba_vs_Bengaluru_Bulls_none_early_zero,2,3.0
doordie_success_U_Mumba_vs_Bengaluru_Bulls_none_early_single||doordie_unknown_U_Mumba_vs_Bengaluru_Bulls_none_early_zero||doordie_unknown_U_Mumba_vs_Bengaluru_Bulls_none_early_zero,2,3.0
doordie_unknown_U_Mumba_vs_Bengaluru_Bulls_none_early_zero||doordie_unknown_U_Mumba_vs_Bengaluru_Bulls_none_early_zero||doordie_unknown_U_Mumba_vs_Bengaluru_Bulls_none_early_zero,2,3.0
doordie_unknown_U_Mumba_vs_Bengaluru_Bulls_none_early_zero||doordie_unknown_U_Mumba_vs_Bengaluru_Bulls_none_early_zero||doordie_success_U_Mumba_vs_Bengaluru_Bulls_none_early_single,2,3.0
doordie_success_U_Mumba_vs_Bengaluru_Bulls_none_early_single||doordie_unknown_U_Mumba_vs_Bengaluru_Bulls_none_early_zero,3,2.0
doordie_unknown_U_Mumba_vs_Bengaluru_Bulls_none_early_zero,10,-1.0
doordie_success_U_Mumba_vs_Bengaluru_Bulls_none_early_single,6,-1.0
doordie_unknown_Puneri_Paltan_vs_Bengaluru_Bulls_none_early_zero,3,-1.0
