pattern,support,gain
doordie_success_Jaipur_Pink_Panthers_vs_Dabang_Delhi_K.C._none_early_single||doordie_unknown_Jaipur_Pink_Panthers_vs_Dabang_Delhi_K.C._none_early_zero,23,22.0
doordie_unknown_Jaipur_Pink_Panthers_vs_Dabang_Delhi_K.C._none_early_zero||doordie_success_Jaipur_Pink_Panthers_vs_Dabang_Delhi_K.C._none_early_single,22,21.0
doordie_success_Jaipur_Pink_Panthers_vs_Dabang_Delhi_K.C._none_early_single||doordie_unknown_Jaipur_Pink_Panthers_vs_Dabang_Delhi_K.C._none_early_zero||doordie_success_Jaipur_Pink_Panthers_vs_Dabang_Delhi_K.C._none_early_single,11,21.0
doordie_success_Jaipur_Pink_Panthers_vs_Dabang_Delhi_K.C._none_early_single||doordie_success_Jaipur_Pink_Panthers_vs_Dabang_Delhi_K.C._none_early_single,19,18.0
doordie_unknown_Jaipur_Pink_Panthers_vs_Dabang_Delhi_K.C._none_early_zero||doordie_unknown_Jaipur_Pink_Panthers_vs_Dabang_Delhi_K.C._none_early_zero,18,17.0
bonus_success_Jaipur_Pink_Panthers_vs_Dabang_Delhi_K.C._unknown_early_zero||doordie_success_Jaipur_Pink_Panthers_vs_Dabang_Delhi_K.C._none_early_single,10,9.0
doordie_unknown_Jaipur_Pink_Panthers_vs_Dabang_Delhi_K.C._none_early_zero||bonus_success_Jaipur_Pink_Panthers_vs_Dabang_Delhi_K.C._unknown_early_zero,9,8.0
doordie_success_Jaipur_Pink_Panthers_vs_Dabang_Delhi_K.C._none_early_single,56,-1.0
doordie_unknown_Jaipur_Pink_Panthers_vs_Dabang_Delhi_K.C._none_early_zero,54,-1.0
bonus_success_Jaipur_Pink_Panthers_vs_Dabang_Delhi_K.C._unknown_early_zero,20,-1.0
