pattern,support,gain
empty_unknown_Bengal_Warriors_vs_U.P._Yoddhas_none_early_zero||doordie_success_Bengal_Warriors_vs_U.P._Yoddhas_none_early_single,2,1.0
doordie_unknown_Bengal_Warriors_vs_U.P._Yoddhas_none_early_zero||doordie_unknown_Bengal_Warriors_vs_U.P._Yoddhas_none_early_zero,2,1.0
doordie_success_Bengal_Warriors_vs_U.P._Yoddhas_none_early_single||doordie_success_Bengal_Warriors_vs_U.P._Yoddhas_none_early_single,2,1.0
doordie_unknown_Bengal_Warriors_vs_U.P._Yoddhas_none_early_zero||doordie_success_Bengal_Warriors_vs_U.P._Yoddhas_none_early_high,1,0.0
doordie_success_Bengal_Warriors_vs_U.P._Yoddhas_none_early_high||doordie_unknown_Bengal_Warriors_vs_U.P._Yoddhas_none_early_zero,1,0.0
doordie_unknown_Bengal_Warriors_vs_U.P._Yoddhas_none_early_zero,5,-1.0
doordie_success_Bengal_Warriors_vs_U.P._Yoddhas_none_early_single,5,-1.0
empty_unknown_Bengal_Warriors_vs_U.P._Yoddhas_none_early_zero,2,-1.0
bonus_success_Bengal_Warriors_vs_U.P._Yoddhas_unknown_early_zero,2,-1.0
doordie_success_Bengal_Warriors_vs_U.P._Yoddhas_none_early_high,1,-1.0
