pattern,support,gain
bonus_success_Patna_Pirates_vs_Gujarat_Giants_left_cover_early_zero||doordie_unknown_Patna_Pirates_vs_Gujarat_Giants_none_early_zero||doordie_success_Patna_Pirates_vs_Gujarat_Giants_none_early_single,2,3.0
doordie_unknown_Patna_Pirates_vs_Gujarat_Giants_none_early_zero||doordie_success_Patna_Pirates_vs_Gujarat_Giants_none_early_single,3,2.0
bonus_success_Patna_Pirates_vs_Gujarat_Giants_left_cover_early_zero||doordie_unknown_Patna_Pirates_vs_Gujarat_Giants_none_early_zero,2,1.0
doordie_unknown_Patna_Pirates_vs_Gujarat_Giants_none_early_zero,4,-1.0
doordie_success_Patna_Pirates_vs_Gujarat_Giants_none_early_single,4,-1.0
bonus_success_Patna_Pirates_vs_Gujarat_Giants_left_cover_early_zero,2,-1.0
bonus_success_Bengaluru_Bulls_vs_Gujarat_Giants_right_cover_early_zero,1,-1.0
bonus_success_Patna_Pirates_vs_Gujarat_Giants_all_rounder_early_zero,1,-1.0
regular_success_Patna_Pirates_vs_Gujarat_Giants_none_early_single,1,-1.0
bonus_success_Patna_Pirates_vs_Gujarat_Giants_unknown_early_zero,1,-1.0
