pattern,support,gain
regular_success_Jaipur_Pink_Panthers_vs_Telugu_Titans_none_early_single||regular_success_Jaipur_Pink_Panthers_vs_Telugu_Titans_none_early_single||regular_success_Jaipur_Pink_Panthers_vs_Telugu_Titans_none_early_single,4,7.0
regular_success_Jaipur_Pink_Panthers_vs_Telugu_Titans_none_early_single||regular_success_Jaipur_Pink_Panthers_vs_Telugu_Titans_none_early_single,7,6.0
empty_unknown_Jaipur_Pink_Panthers_vs_Telugu_Titans_none_early_zero||empty_unknown_Jaipur_Pink_Panthers_vs_Telugu_Titans_none_early_zero,4,3.0
bonus_success_Jaipur_Pink_Panthers_vs_Telugu_Titans_unknown_early_zero||bonus_success_Jaipur_Pink_Panthers_vs_Telugu_Titans_unknown_early_zero,4,3.0
empty_unknown_Jaipur_Pink_Panthers_vs_Telugu_Titans_none_early_zero||bonus_success_Jaipur_Pink_Panthers_vs_Telugu_Titans_unknown_early_zero,3,2.0
regular_success_Jaipur_Pink_Panthers_vs_Telugu_Titans_none_early_single,13,-1.0
empty_unknown_Jaipur_Pink_Panthers_vs_Telugu_Titans_none_early_zero,12,-1.0
bonus_success_Jaipur_Pink_Panthers_vs_Telugu_Titans_unknown_early_zero,8,-1.0
bonus_success_Jaipur_Pink_Panthers_vs_Telugu_Titans_null_early_zero,4,-1.0
doordie_success_Jaipur_Pink_Panthers_vs_Telugu_Titans_none_early_single,3,-1.0
