pattern,support,gain
doordie_unknown_U_Mumba_vs_Jaipur_Pink_Panthers_none_early_zero||doordie_unknown_U_Mumba_vs_Jaipur_Pink_Panthers_none_early_zero,3,2.0
doordie_success_Gujarat_Giants_vs_Jaipur_Pink_Panthers_none_early_single||doordie_success_Gujarat_Giants_vs_Jaipur_Pink_Panthers_none_early_single,3,2.0
doordie_success_U_Mumba_vs_Jaipur_Pink_Panthers_none_early_single||doordie_success_U_Mumba_vs_Jaipur_Pink_Panthers_none_early_single,2,1.0
doordie_success_U_Mumba_vs_Jaipur_Pink_Panthers_none_early_single||doordie_unknown_U_Mumba_vs_Jaipur_Pink_Panthers_none_early_zero,2,1.0
doordie_unknown_Gujarat_Giants_vs_Jaipur_Pink_Panthers_none_early_zero,6,-1.0
doordie_success_Gujarat_Giants_vs_Jaipur_Pink_Panthers_none_early_single,6,-1.0
doordie_success_U_Mumba_vs_Jaipur_Pink_Panthers_none_early_single,5,-1.0
doordie_unknown_U_Mumba_vs_Jaipur_Pink_Panthers_none_early_zero,5,-1.0
bonus_success_Gujarat_Giants_vs_Jaipur_Pink_Panthers_null_early_zero,4,-1.0
bonus_success_U_Mumba_vs_Jaipur_Pink_Panthers_right_corner_early_zero,2,-1.0
