pattern,support,gain
doordie_unknown_U.P._Yoddha_vs_Puneri_Paltan_none_early_zero||bonus_success_U.P._Yoddha_vs_Puneri_Paltan_null_early_zero,2,1.0
bonus_success_U.P._Yoddha_vs_Puneri_Paltan_null_early_zero||doordie_unknown_U.P._Yoddha_vs_Puneri_Paltan_none_early_zero,2,1.0
bonus_success_U.P._Yoddha_vs_Puneri_Paltan_right_cover_early_zero||bonus_success_U.P._Yoddha_vs_Puneri_Paltan_null_early_zero,1,0.0
bonus_success_U.P._Yoddha_vs_Puneri_Paltan_null_early_zero||allout_success_U.P._Yoddha_vs_Puneri_Paltan_none_early_high,1,0.0
bonus_success_U.P._Yoddha_vs_Puneri_Paltan_null_early_zero,4,-1.0
doordie_unknown_U.P._Yoddha_vs_Puneri_Paltan_none_early_zero,4,-1.0
doordie_success_U.P._Yoddha_vs_Puneri_Paltan_none_early_single,2,-1.0
bonus_success_U.P._Yoddha_vs_Puneri_Paltan_right_cover_early_zero,1,-1.0
allout_success_U.P._Yoddha_vs_Puneri_Paltan_none_early_high,1,-1.0
bonus_success_U.P._Yoddha_vs_Puneri_Paltan_unknown_early_zero,1,-1.0
