pattern,support,gain
empty_unknown_Bengal_Warriors_vs_Patna_Pirates_none_early_zero||empty_unknown_Bengal_Warriors_vs_Patna_Pirates_none_early_zero||empty_unknown_Bengal_Warriors_vs_Patna_Pirates_none_early_zero,3,5.0
empty_unknown_Bengal_Warriors_vs_Patna_Pirates_none_early_zero||empty_unknown_Bengal_Warriors_vs_Patna_Pirates_none_early_zero||empty_unknown_Bengal_Warriors_vs_Patna_Pirates_none_early_zero||empty_unknown_Bengal_Warriors_vs_Patna_Pirates_none_early_zero,2,5.0
empty_unknown_Bengal_Warriors_vs_Patna_Pirates_none_early_zero||empty_unknown_Bengal_Warriors_vs_Patna_Pirates_none_early_zero,4,3.0
doordie_unknown_Bengal_Warriors_vs_Patna_Pirates_none_early_zero||doordie_success_Bengal_Warriors_vs_Patna_Pirates_none_early_single,2,1.0
doordie_success_Bengal_Warriors_vs_Patna_Pirates_none_early_single||doordie_success_Bengal_Warriors_vs_Patna_Pirates_none_early_single,2,1.0
doordie_unknown_Bengal_Warriors_vs_Patna_Pirates_none_early_zero,6,-1.0
doordie_success_Bengal_Warriors_vs_Patna_Pirates_none_early_single,6,-1.0
empty_unknown_Bengal_Warriors_vs_Patna_Pirates_none_early_zero,5,-1.0
bonus_success_Bengal_Warriors_vs_Patna_Pirates_null_early_zero,1,-1.0
bonus_success_Bengal_Warriors_vs_Patna_Pirates_left_corner_early_zero,1,-1.0
