pattern,support,gain
doordie_unknown_Bengal_Warriors_vs_U.P._Yoddha_none_early_zero||doordie_success_Bengal_Warriors_vs_U.P._Yoddha_none_early_single,7,6.0
doordie_unknown_Bengal_Warriors_vs_U.P._Yoddha_none_early_zero||doordie_unknown_Bengal_Warriors_vs_U.P._Yoddha_none_early_zero,5,4.0
bonus_success_Bengal_Warriors_vs_U.P._Yoddha_null_early_zero||doordie_unknown_Bengal_Warriors_vs_U.P._Yoddha_none_early_zero,4,3.0
doordie_success_Bengal_Warriors_vs_U.P._Yoddha_none_early_high||doordie_unknown_Bengal_Warriors_vs_U.P._Yoddha_none_early_zero,3,2.0
doordie_success_Bengal_Warriors_vs_U.P._Yoddha_none_early_single||doordie_success_Bengal_Warriors_vs_U.P._Yoddha_none_early_single,3,2.0
doordie_success_Bengal_Warriors_vs_U.P._Yoddha_none_early_single||doordie_unknown_Bengal_Warriors_vs_U.P._Yoddha_none_early_zero,3,2.0
doordie_unknown_Bengal_Warriors_vs_U.P._Yoddha_none_early_zero,18,-1.0
doordie_success_Bengal_Warriors_vs_U.P._Yoddha_none_early_single,10,-1.0
bonus_success_Bengal_Warriors_vs_U.P._Yoddha_null_early_zero,5,-1.0
doordie_success_Bengal_Warriors_vs_U.P._Yoddha_none_early_high,4,-1.0
