pattern,support,gain
doordie_unknown_Telugu_Titans_vs_Jaipur_Pink_Panthers_none_early_zero||doordie_unknown_Telugu_Titans_vs_Jaipur_Pink_Panthers_none_early_zero||doordie_unknown_Telugu_Titans_vs_Jaipur_Pink_Panthers_none_early_zero,4,7.0
doordie_unknown_Telugu_Titans_vs_Jaipur_Pink_Panthers_none_early_zero||doordie_unknown_Telugu_Titans_vs_Jaipur_Pink_Panthers_none_early_zero,7,6.0
doordie_success_Telugu_Titans_vs_Jaipur_Pink_Panthers_none_early_single||doordie_unknown_Telugu_Titans_vs_Jaipur_Pink_Panthers_none_early_zero||doordie_unknown_Telugu_Titans_vs_Jaipur_Pink_Panthers_none_early_zero,3,5.0
doordie_unknown_Telugu_Titans_vs_Jaipur_Pink_Panthers_none_early_zero||doordie_success_Telugu_Titans_vs_Jaipur_Pink_Panthers_none_early_single||doordie_unknown_Telugu_Titans_vs_Jaipur_Pink_Panthers_none_early_zero,3,5.0
doordie_success_Telugu_Titans_vs_Jaipur_Pink_Panthers_none_early_single||doordie_unknown_Telugu_Titans_vs_Jaipur_Pink_Panthers_none_early_zero,5,4.0
doordie_unknown_Telugu_Titans_vs_Jaipur_Pink_Panthers_none_early_zero||doordie_success_Telugu_Titans_vs_Jaipur_Pink_Panthers_none_early_single,4,3.0
doordie_unknown_Telugu_Titans_vs_Jaipur_Pink_Panthers_none_early_zero||doordie_unknown_Telugu_Titans_vs_Jaipur_Pink_Panthers_none_early_zero||doordie_success_Telugu_Titans_vs_Jaipur_Pink_Panthers_none_early_single,2,3.0
doordie_success_Telugu_Titans_vs_Jaipur_Pink_Panthers_none_early_single||doordie_unknown_Telugu_Titans_vs_Jaipur_Pink_Panthers_none_early_zero||doordie_success_Telugu_Titans_vs_Jaipur_Pink_Panthers_none_early_single,2,3.0
doordie_unknown_Telugu_Titans_vs_Jaipur_Pink_Panthers_none_early_zero,12,-1.0
doordie_success_Telugu_Titans_vs_Jaipur_Pink_Panthers_none_early_single,6,-1.0
