pattern,support,gain
doordie_unknown_Patna_Pirates_vs_Telugu_Titans_none_early_zero||doordie_unknown_Patna_Pirates_vs_Telugu_Titans_none_early_zero,5,4.0
regular_success_Jaipur_Pink_Panthers_vs_Telugu_Titans_none_early_single||regular_success_Jaipur_Pink_Panthers_vs_Telugu_Titans_none_early_single,5,4.0
empty_unknown_Jaipur_Pink_Panthers_vs_Telugu_Titans_none_early_zero||regular_success_Jaipur_Pink_Panthers_vs_Telugu_Titans_none_early_single,5,4.0
empty_unknown_Jaipur_Pink_Panthers_vs_Telugu_Titans_none_early_zero||empty_unknown_Jaipur_Pink_Panthers_vs_Telugu_Titans_none_early_zero,5,4.0
empty_unknown_Jaipur_Pink_Panthers_vs_Telugu_Titans_none_early_zero,16,-1.0
regular_success_Jaipur_Pink_Panthers_vs_Telugu_Titans_none_early_single,13,-1.0
doordie_unknown_U_Mumba_vs_Telugu_Titans_none_early_zero,10,-1.0
doordie_unknown_Patna_Pirates_vs_Telugu_Titans_none_early_zero,8,-1.0
bonus_success_Jaipur_Pink_Panthers_vs_Telugu_Titans_unknown_early_zero,5,-1.0
doordie_success_Patna_Pirates_vs_Telugu_Titans_none_early_single,4,-1.0
