pattern,support,gain
regular_success_U_Mumba_vs_Puneri_Paltan_none_early_single||empty_unknown_U_Mumba_vs_Puneri_Paltan_none_early_zero,2,1.0
empty_unknown_U_Mumba_vs_Puneri_Paltan_none_early_zero||regular_success_U_Mumba_vs_Puneri_Paltan_none_early_single,2,1.0
doordie_success_U_Mumba_vs_Puneri_Paltan_none_early_single||empty_unknown_U_Mumba_vs_Puneri_Paltan_none_early_zero,2,1.0
bonus_success_U_Mumba_vs_Puneri_Paltan_unknown_early_zero||empty_unknown_U_Mumba_vs_Puneri_Paltan_none_early_zero,2,1.0
empty_unknown_U_Mumba_vs_Puneri_Paltan_none_early_zero||bonus_success_U_Mumba_vs_Puneri_Paltan_null_early_zero,2,1.0
empty_unknown_U_Mumba_vs_Puneri_Paltan_none_early_zero,7,-1.0
bonus_success_U_Mumba_vs_Puneri_Paltan_null_early_zero,3,-1.0
regular_success_U_Mumba_vs_Puneri_Paltan_none_early_single,3,-1.0
bonus_success_U_Mumba_vs_Puneri_Paltan_unknown_early_zero,3,-1.0
doordie_success_U_Mumba_vs_Puneri_Paltan_none_early_single,2,-1.0
