pattern,support,gain
empty_unknown_Tamil_Thalaivas_vs_Jaipur_Pink_Panthers_none_early_zero||bonus_success_Tamil_Thalaivas_vs_Jaipur_Pink_Panthers_null_early_zero||empty_unknown_Tamil_Thalaivas_vs_Jaipur_Pink_Panthers_none_early_zero,2,3.0
bonus_success_Tamil_Thalaivas_vs_Jaipur_Pink_Panthers_null_early_zero||empty_unknown_Tamil_Thalaivas_vs_Jaipur_Pink_Panthers_none_early_zero,3,2.0
empty_unknown_Tamil_Thalaivas_vs_Jaipur_Pink_Panthers_none_early_zero||bonus_success_Tamil_Thalaivas_vs_Jaipur_Pink_Panthers_null_early_zero,2,1.0
empty_unknown_Tamil_Thalaivas_vs_Jaipur_Pink_Panthers_none_early_zero||empty_unknown_Tamil_Thalaivas_vs_Jaipur_Pink_Panthers_none_early_zero,2,1.0
empty_unknown_Tamil_Thalaivas_vs_Jaipur_Pink_Panthers_none_early_zero,7,-1.0
bonus_success_Tamil_Thalaivas_vs_Jaipur_Pink_Panthers_null_early_zero,4,-1.0
regular_success_Tamil_Thalaivas_vs_Jaipur_Pink_Panthers_none_early_single,2,-1.0
doordie_success_Tamil_Thalaivas_vs_Jaipur_Pink_Panthers_none_early_high,1,-1.0
allout_success_Tamil_Thalaivas_vs_Jaipur_Pink_Panthers_none_early_high,1,-1.0
regular_success_Tamil_Thalaivas_vs_Jaipur_Pink_Panthers_none_early_high,1,-1.0
