pattern,support,gain
regular_success_U_Mumba_vs_Bengaluru_Bulls_none_early_single||regular_success_U_Mumba_vs_Bengaluru_Bulls_none_early_single,9,8.0
empty_unknown_U_Mumba_vs_Bengaluru_Bulls_none_early_zero||bonus_success_U_Mumba_vs_Bengaluru_Bulls_unknown_early_zero,9,8.0
bonus_success_U_Mumba_vs_Bengaluru_Bulls_unknown_early_zero||empty_unknown_U_Mumba_vs_Bengaluru_Bulls_none_early_zero,8,7.0
empty_unknown_U_Mumba_vs_Bengaluru_Bulls_none_early_zero||regular_success_U_Mumba_vs_Bengaluru_Bulls_none_early_single,6,5.0
empty_unknown_U_Mumba_vs_Bengaluru_Bulls_none_early_zero||empty_unknown_U_Mumba_vs_Bengaluru_Bulls_none_early_zero,5,4.0
empty_unknown_U_Mumba_vs_Bengaluru_Bulls_none_early_zero,26,-1.0
regular_success_U_Mumba_vs_Bengaluru_Bulls_none_early_single,22,-1.0
bonus_success_U_Mumba_vs_Bengaluru_Bulls_unknown_early_zero,20,-1.0
doordie_unknown_U_Mumba_vs_Bengaluru_Bulls_none_early_zero,9,-1.0
doordie_success_U_Mumba_vs_Bengaluru_Bulls_none_early_single,7,-1.0
