pattern,support,gain
doordie_unknown_Tamil_Thalaivas_vs_Patna_Pirates_none_early_zero||doordie_success_Tamil_Thalaivas_vs_Patna_Pirates_none_early_single||doordie_unknown_Tamil_Thalaivas_vs_Patna_Pirates_none_early_zero,2,3.0
doordie_unknown_Tamil_Thalaivas_vs_Patna_Pirates_none_early_zero||doordie_success_Tamil_Thalaivas_vs_Patna_Pirates_none_early_single,2,1.0
doordie_success_Tamil_Thalaivas_vs_Patna_Pirates_none_early_single||doordie_unknown_Tamil_Thalaivas_vs_Patna_Pirates_none_early_zero,2,1.0
doordie_success_Tamil_Thalaivas_vs_Patna_Pirates_none_early_single,4,-1.0
doordie_unknown_Tamil_Thalaivas_vs_Patna_Pirates_none_early_zero,4,-1.0
empty_unknown_Tamil_Thalaivas_vs_Patna_Pirates_none_early_zero,2,-1.0
bonus_success_Tamil_Thalaivas_vs_Patna_Pirates_raider_early_zero,2,-1.0
allout_unknown_Tamil_Thalaivas_vs_Patna_Pirates_none_early_zero,1,-1.0
regular_success_Tamil_Thalaivas_vs_Patna_Pirates_none_early_single,1,-1.0
doordie_success_Tamil_Thalaivas_vs_Patna_Pirates_none_early_high,1,-1.0
