pattern,support,gain
empty_unknown_Patna_Pirates_vs_Bengal_Warriors_none_early_zero||empty_unknown_Patna_Pirates_vs_Bengal_Warriors_none_early_zero,8,7.0
empty_unknown_Patna_Pirates_vs_Bengal_Warriors_none_early_zero,14,-1.0
doordie_success_Haryana_Steelers_vs_Bengal_Warriors_none_early_single,11,-1.0
doordie_unknown_Haryana_Steelers_vs_Bengal_Warriors_none_early_zero,9,-1.0
doordie_unknown_Puneri_Paltan_vs_Bengal_Warriors_none_early_zero,8,-1.0
doordie_success_Puneri_Paltan_vs_Bengal_Warriors_none_early_single,8,-1.0
bonus_success_Patna_Pirates_vs_Bengal_Warriors_null_early_zero,8,-1.0
regular_success_Patna_Pirates_vs_Bengal_Warriors_none_early_single,8,-1.0
doordie_success_Tamil_Thalaivas_vs_Bengal_Warriors_none_early_single,6,-1.0
bonus_success_Haryana_Steelers_vs_Bengal_Warriors_null_early_zero,6,-1.0
