pattern,support,gain
empty_unknown_Patna_Pirates_vs_Puneri_Paltan_none_early_zero||bonus_success_Patna_Pirates_vs_Puneri_Paltan_null_early_zero,9,8.0
empty_unknown_Patna_Pirates_vs_Puneri_Paltan_none_early_zero||empty_unknown_Patna_Pirates_vs_Puneri_Paltan_none_early_zero,8,7.0
bonus_success_Patna_Pirates_vs_Puneri_Paltan_null_early_zero||empty_unknown_Patna_Pirates_vs_Puneri_Paltan_none_early_zero,7,6.0
empty_unknown_Patna_Pirates_vs_Puneri_Paltan_none_early_zero,21,-1.0
bonus_success_Patna_Pirates_vs_Puneri_Paltan_null_early_zero,14,-1.0
doordie_unknown_Tamil_Thalaivas_vs_Puneri_Paltan_none_early_zero,12,-1.0
doordie_unknown_Haryana_Steelers_vs_Puneri_Paltan_none_early_zero,8,-1.0
regular_success_Patna_Pirates_vs_Puneri_Paltan_none_early_single,8,-1.0
doordie_success_Haryana_Steelers_vs_Puneri_Paltan_none_early_single,7,-1.0
doordie_success_Patna_Pirates_vs_Puneri_Paltan_none_early_single,7,-1.0
