pattern,support,gain
doordie_success_Tamil_Thalaivas_vs_U.P._Yoddha_none_early_single||doordie_success_Tamil_Thalaivas_vs_U.P._Yoddha_none_early_single,9,8.0
doordie_success_Puneri_Paltan_vs_U.P._Yoddha_none_early_single||doordie_success_Puneri_Paltan_vs_U.P._Yoddha_none_early_single,7,6.0
doordie_success_Tamil_Thalaivas_vs_U.P._Yoddha_none_early_single||doordie_unknown_Tamil_Thalaivas_vs_U.P._Yoddha_none_early_zero,5,4.0
doordie_unknown_Tamil_Thalaivas_vs_U.P._Yoddha_none_early_zero||doordie_unknown_Tamil_Thalaivas_vs_U.P._Yoddha_none_early_zero,5,4.0
doordie_success_Tamil_Thalaivas_vs_U.P._Yoddha_none_early_single,17,-1.0
doordie_success_Puneri_Paltan_vs_U.P._Yoddha_none_early_single,16,-1.0
doordie_unknown_Tamil_Thalaivas_vs_U.P._Yoddha_none_early_zero,13,-1.0
doordie_unknown_Patna_Pirates_vs_U.P._Yoddha_none_early_zero,9,-1.0
bonus_success_Puneri_Paltan_vs_U.P._Yoddha_null_early_zero,8,-1.0
doordie_success_Patna_Pirates_vs_U.P._Yoddha_none_early_single,7,-1.0
