pattern,support,gain
doordie_unknown_nan_vs_Gujarat_Giants_none_early_zero||doordie_success_nan_vs_Gujarat_Giants_none_early_single||doordie_unknown_nan_vs_Gujarat_Giants_none_early_zero||doordie_success_nan_vs_Gujarat_Giants_none_early_single,5,14.0
doordie_success_nan_vs_Gujarat_Giants_none_early_single||doordie_unknown_nan_vs_Gujarat_Giants_none_early_zero||doordie_success_nan_vs_Gujarat_Giants_none_early_single||doordie_unknown_nan_vs_Gujarat_Giants_none_early_zero,4,11.0
doordie_unknown_nan_vs_Gujarat_Giants_none_early_zero||doordie_success_nan_vs_Gujarat_Giants_none_early_single||doordie_unknown_nan_vs_Gujarat_Giants_none_early_zero,5,9.0
doordie_success_nan_vs_Gujarat_Giants_none_early_single||doordie_unknown_nan_vs_Gujarat_Giants_none_early_zero||doordie_success_nan_vs_Gujarat_Giants_none_early_single,5,9.0
doordie_unknown_nan_vs_Gujarat_Giants_none_early_zero||doordie_success_nan_vs_Gujarat_Giants_none_early_single,7,6.0
doordie_success_nan_vs_Gujarat_Giants_none_early_single||doordie_unknown_nan_vs_Gujarat_Giants_none_early_zero,5,4.0
doordie_success_nan_vs_Gujarat_Giants_none_early_single||doordie_success_nan_vs_Gujarat_Giants_none_early_single,1,0.0
doordie_success_nan_vs_Gujarat_Giants_none_early_single,8,-1.0
doordie_unknown_nan_vs_Gujarat_Giants_none_early_zero,7,-1.0
bonus_success_nan_vs_Gujarat_Giants_left_cover_early_zero,2,-1.0
