pattern,support,gain
doordie_success_nan_vs_Haryana_Steelers_none_early_single||doordie_unknown_nan_vs_Haryana_Steelers_none_early_zero||doordie_success_nan_vs_Haryana_Steelers_none_early_single,7,13.0
doordie_success_nan_vs_Haryana_Steelers_none_early_single||doordie_unknown_nan_vs_Haryana_Steelers_none_early_zero,13,12.0
doordie_unknown_nan_vs_Haryana_Steelers_none_early_zero||doordie_success_nan_vs_Haryana_Steelers_none_early_single,13,12.0
doordie_unknown_nan_vs_Haryana_Steelers_none_early_zero||doordie_unknown_nan_vs_Haryana_Steelers_none_early_zero,10,9.0
doordie_success_nan_vs_Haryana_Steelers_none_early_single||doordie_success_nan_vs_Haryana_Steelers_none_early_single,8,7.0
bonus_success_nan_vs_Haryana_Steelers_unknown_early_zero||doordie_unknown_nan_vs_Haryana_Steelers_none_early_zero,6,5.0
doordie_unknown_nan_vs_Haryana_Steelers_none_early_zero,35,-1.0
doordie_success_nan_vs_Haryana_Steelers_none_early_single,29,-1.0
bonus_success_nan_vs_Haryana_Steelers_unknown_early_zero,10,-1.0
doordie_success_nan_vs_Haryana_Steelers_none_early_high,8,-1.0
