pattern,support,gain
doordie_unknown_Haryana_Steelers_vs_Puneri_Paltan_none_early_zero||doordie_success_Haryana_Steelers_vs_Puneri_Paltan_none_early_single,6,5.0
bonus_success_Haryana_Steelers_vs_Puneri_Paltan_null_early_zero||doordie_unknown_Haryana_Steelers_vs_Puneri_Paltan_none_early_zero||doordie_unknown_Haryana_Steelers_vs_Puneri_Paltan_none_early_zero,3,5.0
doordie_unknown_Haryana_Steelers_vs_Puneri_Paltan_none_early_zero||doordie_unknown_Haryana_Steelers_vs_Puneri_Paltan_none_early_zero||doordie_success_Haryana_Steelers_vs_Puneri_Paltan_none_early_single,3,5.0
bonus_success_Haryana_Steelers_vs_Puneri_Paltan_null_early_zero||doordie_unknown_Haryana_Steelers_vs_Puneri_Paltan_none_early_zero,5,4.0
doordie_unknown_Haryana_Steelers_vs_Puneri_Paltan_none_early_zero||doordie_unknown_Haryana_Steelers_vs_Puneri_Paltan_none_early_zero,5,4.0
doordie_success_Haryana_Steelers_vs_Puneri_Paltan_none_early_single||doordie_success_Haryana_Steelers_vs_Puneri_Paltan_none_early_single,3,2.0
doordie_unknown_Haryana_Steelers_vs_Puneri_Paltan_none_early_zero,14,-1.0
doordie_success_Haryana_Steelers_vs_Puneri_Paltan_none_early_single,9,-1.0
bonus_success_Haryana_Steelers_vs_Puneri_Paltan_null_early_zero,7,-1.0
empty_unknown_Haryana_Steelers_vs_Puneri_Paltan_none_early_zero,3,-1.0
