pattern,support,gain
doordie_unknown_Dabang_Delhi_vs_Bengal_Warriors_none_early_zero||doordie_unknown_Dabang_Delhi_vs_Bengal_Warriors_none_early_zero||doordie_unknown_Dabang_Delhi_vs_Bengal_Warriors_none_early_zero,3,5.0
doordie_unknown_Dabang_Delhi_vs_Bengal_Warriors_none_early_zero||doordie_unknown_Dabang_Delhi_vs_Bengal_Warriors_none_early_zero,5,4.0
doordie_success_Dabang_Delhi_vs_Bengal_Warriors_none_early_single||doordie_unknown_Dabang_Delhi_vs_Bengal_Warriors_none_early_zero,2,1.0
doordie_unknown_Dabang_Delhi_vs_Bengal_Warriors_none_early_zero,10,-1.0
doordie_success_Dabang_Delhi_vs_Bengal_Warriors_none_early_single,6,-1.0
bonus_success_Dabang_Delhi_vs_Bengal_Warriors_left_corner_early_zero,2,-1.0
allout_success_Dabang_Delhi_vs_Bengal_Warriors_none_early_high,2,-1.0
bonus_success_Dabang_Delhi_vs_Bengal_Warriors_right_corner_early_zero,1,-1.0
doordie_success_Dabang_Delhi_vs_Bengal_Warriors_none_early_high,1,-1.0
bonus_success_Dabang_Delhi_vs_Bengal_Warriors_all_rounder_early_zero,1,-1.0
