pattern,support,gain
doordie_unknown_Dabang_Delhi_vs_U.P._Yoddha_none_early_zero||doordie_unknown_Dabang_Delhi_vs_U.P._Yoddha_none_early_zero||doordie_unknown_Dabang_Delhi_vs_U.P._Yoddha_none_early_zero,2,3.0
doordie_unknown_Dabang_Delhi_vs_U.P._Yoddha_none_early_zero||doordie_unknown_Dabang_Delhi_vs_U.P._Yoddha_none_early_zero,3,2.0
bonus_success_Dabang_Delhi_vs_U.P._Yoddha_null_early_zero||doordie_success_Dabang_Delhi_vs_U.P._Yoddha_none_early_single,2,1.0
doordie_success_Dabang_Delhi_vs_U.P._Yoddha_none_early_single||bonus_success_Dabang_Delhi_vs_U.P._Yoddha_null_early_zero,2,1.0
doordie_success_Dabang_Delhi_vs_U.P._Yoddha_none_early_single||doordie_unknown_Dabang_Delhi_vs_U.P._Yoddha_none_early_zero,2,1.0
doordie_unknown_Dabang_Delhi_vs_U.P._Yoddha_none_early_zero||doordie_success_Dabang_Delhi_vs_U.P._Yoddha_none_early_single,2,1.0
doordie_unknown_Dabang_Delhi_vs_U.P._Yoddha_none_early_zero,7,-1.0
bonus_success_Dabang_Delhi_vs_U.P._Yoddha_null_early_zero,5,-1.0
doordie_success_Dabang_Delhi_vs_U.P._Yoddha_none_early_single,5,-1.0
bonus_success_Dabang_Delhi_vs_U.P._Yoddha_all_rounder_early_zero,1,-1.0
