pattern,support,gain
regular_success_Puneri_Paltan_vs_Jaipur_Pink_Panthers_none_early_single||empty_unknown_Puneri_Paltan_vs_Jaipur_Pink_Panthers_none_early_zero,8,7.0
doordie_success_Puneri_Paltan_vs_Jaipur_Pink_Panthers_none_early_single||doordie_unknown_Puneri_Paltan_vs_Jaipur_Pink_Panthers_none_early_zero,7,6.0
empty_unknown_Puneri_Paltan_vs_Jaipur_Pink_Panthers_none_early_zero||regular_success_Puneri_Paltan_vs_Jaipur_Pink_Panthers_none_early_single,7,6.0
doordie_unknown_Puneri_Paltan_vs_Jaipur_Pink_Panthers_none_early_zero||doordie_success_Puneri_Paltan_vs_Jaipur_Pink_Panthers_none_early_single,6,5.0
doordie_success_Puneri_Paltan_vs_Jaipur_Pink_Panthers_none_early_single||doordie_success_Puneri_Paltan_vs_Jaipur_Pink_Panthers_none_early_single,6,5.0
doordie_success_Puneri_Paltan_vs_Jaipur_Pink_Panthers_none_early_single,22,-1.0
empty_unknown_Puneri_Paltan_vs_Jaipur_Pink_Panthers_none_early_zero,20,-1.0
doordie_unknown_Puneri_Paltan_vs_Jaipur_Pink_Panthers_none_early_zero,19,-1.0
regular_success_Puneri_Paltan_vs_Jaipur_Pink_Panthers_none_early_single,15,-1.0
bonus_success_Puneri_Paltan_vs_Jaipur_Pink_Panthers_null_early_zero,14,-1.0
