pattern,support,gain
doordie_unknown_Telugu_Titans_vs_Patna_Pirates_none_early_zero||doordie_unknown_Telugu_Titans_vs_Patna_Pirates_none_early_zero||doordie_success_Telugu_Titans_vs_Patna_Pirates_none_early_single||doordie_unknown_Telugu_Titans_vs_Patna_Pirates_none_early_zero,3,8.0
doordie_unknown_Telugu_Titans_vs_Patna_Pirates_none_early_zero||doordie_unknown_Telugu_Titans_vs_Patna_Pirates_none_early_zero||doordie_success_Telugu_Titans_vs_Patna_Pirates_none_early_single,4,7.0
doordie_unknown_Telugu_Titans_vs_Patna_Pirates_none_early_zero||doordie_unknown_Telugu_Titans_vs_Patna_Pirates_none_early_zero,6,5.0
doordie_unknown_Telugu_Titans_vs_Patna_Pirates_none_early_zero||doordie_success_Telugu_Titans_vs_Patna_Pirates_none_early_single||doordie_unknown_Telugu_Titans_vs_Patna_Pirates_none_early_zero,3,5.0
doordie_unknown_Telugu_Titans_vs_Patna_Pirates_none_early_zero||doordie_success_Telugu_Titans_vs_Patna_Pirates_none_early_single,5,4.0
doordie_success_Telugu_Titans_vs_Patna_Pirates_none_early_single||doordie_unknown_Telugu_Titans_vs_Patna_Pirates_none_early_zero,4,3.0
doordie_unknown_Telugu_Titans_vs_Patna_Pirates_none_early_zero,13,-1.0
doordie_success_Telugu_Titans_vs_Patna_Pirates_none_early_single,7,-1.0
doordie_unknown_U_Mumba_vs_Patna_Pirates_none_early_zero,5,-1.0
doordie_success_U_Mumba_vs_Patna_Pirates_none_early_single,2,-1.0
