pattern,support,gain
doordie_unknown_Patna_Pirates_vs_Tamil_Thalaivas_none_early_zero||doordie_unknown_Patna_Pirates_vs_Tamil_Thalaivas_none_early_zero,4,3.0
doordie_success_Dabang_Delhi_vs_Tamil_Thalaivas_none_early_single||doordie_unknown_Dabang_Delhi_vs_Tamil_Thalaivas_none_early_zero||doordie_unknown_Dabang_Delhi_vs_Tamil_Thalaivas_none_early_zero,2,3.0
doordie_success_Dabang_Delhi_vs_Tamil_Thalaivas_none_early_single||doordie_unknown_Dabang_Delhi_vs_Tamil_Thalaivas_none_early_zero,3,2.0
doordie_unknown_Dabang_Delhi_vs_Tamil_Thalaivas_none_early_zero||doordie_unknown_Dabang_Delhi_vs_Tamil_Thalaivas_none_early_zero,3,2.0
doordie_unknown_Dabang_Delhi_vs_Tamil_Thalaivas_none_early_zero||doordie_success_Dabang_Delhi_vs_Tamil_Thalaivas_none_early_single,2,1.0
empty_unknown_Patna_Pirates_vs_Tamil_Thalaivas_none_early_zero||empty_unknown_Patna_Pirates_vs_Tamil_Thalaivas_none_early_zero,2,1.0
doordie_unknown_Patna_Pirates_vs_Tamil_Thalaivas_none_early_zero,7,-1.0
doordie_unknown_Dabang_Delhi_vs_Tamil_Thalaivas_none_early_zero,6,-1.0
doordie_success_Dabang_Delhi_vs_Tamil_Thalaivas_none_early_single,4,-1.0
empty_unknown_Patna_Pirates_vs_Tamil_Thalaivas_none_early_zero,3,-1.0
