pattern,support,gain
doordie_unknown_Bengaluru_Bulls_vs_Gujarat_Fortunegiants_none_early_zero||doordie_unknown_Bengaluru_Bulls_vs_Gujarat_Fortunegiants_none_early_zero,20,19.0
doordie_success_Bengaluru_Bulls_vs_Gujarat_Fortunegiants_none_early_single||doordie_unknown_Bengaluru_Bulls_vs_Gujarat_Fortunegiants_none_early_zero||doordie_unknown_Bengaluru_Bulls_vs_Gujarat_Fortunegiants_none_early_zero,8,15.0
doordie_success_Bengaluru_Bulls_vs_Gujarat_Fortunegiants_none_early_single||doordie_unknown_Bengaluru_Bulls_vs_Gujarat_Fortunegiants_none_early_zero,15,14.0
doordie_unknown_Bengaluru_Bulls_vs_Gujarat_Fortunegiants_none_early_zero||doordie_unknown_Bengaluru_Bulls_vs_Gujarat_Fortunegiants_none_early_zero||doordie_unknown_Bengaluru_Bulls_vs_Gujarat_Fortunegiants_none_early_zero,7,13.0
doordie_unknown_Bengaluru_Bulls_vs_Gujarat_Fortunegiants_none_early_zero||doordie_success_Bengaluru_Bulls_vs_Gujarat_Fortunegiants_none_early_single,12,11.0
doordie_unknown_Bengaluru_Bulls_vs_Gujarat_Fortunegiants_none_early_zero||bonus_success_Bengaluru_Bulls_vs_Gujarat_Fortunegiants_unknown_early_zero,10,9.0
doordie_success_Bengaluru_Bulls_vs_Gujarat_Fortunegiants_none_early_single||doordie_success_Bengaluru_Bulls_vs_Gujarat_Fortunegiants_none_early_single,9,8.0
doordie_unknown_Bengaluru_Bulls_vs_Gujarat_Fortunegiants_none_early_zero,45,-1.0
doordie_success_Bengaluru_Bulls_vs_Gujarat_Fortunegiants_none_early_single,29,-1.0
bonus_success_Bengaluru_Bulls_vs_Gujarat_Fortunegiants_unknown_early_zero,18,-1.0
