pattern,support,gain
doordie_unknown_Bengaluru_Bulls_vs_Haryana_Steelers_none_early_zero||doordie_unknown_Bengaluru_Bulls_vs_Haryana_Steelers_none_early_zero,8,7.0
doordie_unknown_Bengaluru_Bulls_vs_Haryana_Steelers_none_early_zero||doordie_success_Bengaluru_Bulls_vs_Haryana_Steelers_none_early_single||doordie_unknown_Bengaluru_Bulls_vs_Haryana_Steelers_none_early_zero,4,7.0
doordie_unknown_Bengaluru_Bulls_vs_Haryana_Steelers_none_early_zero||doordie_unknown_Bengaluru_Bulls_vs_Haryana_Steelers_none_early_zero||doordie_unknown_Bengaluru_Bulls_vs_Haryana_Steelers_none_early_zero,4,7.0
doordie_unknown_Bengaluru_Bulls_vs_Haryana_Steelers_none_early_zero||doordie_success_Bengaluru_Bulls_vs_Haryana_Steelers_none_early_single,6,5.0
doordie_success_Bengaluru_Bulls_vs_Haryana_Steelers_none_early_single||doordie_unknown_Bengaluru_Bulls_vs_Haryana_Steelers_none_early_zero||doordie_unknown_Bengaluru_Bulls_vs_Haryana_Steelers_none_early_zero,3,5.0
doordie_unknown_Bengaluru_Bulls_vs_Haryana_Steelers_none_early_zero||doordie_unknown_Bengaluru_Bulls_vs_Haryana_Steelers_none_early_zero||doordie_success_Bengaluru_Bulls_vs_Haryana_Steelers_none_early_single,3,5.0
doordie_success_Bengaluru_Bulls_vs_Haryana_Steelers_none_early_single||doordie_unknown_Bengaluru_Bulls_vs_Haryana_Steelers_none_early_zero,5,4.0
doordie_success_Bengaluru_Bulls_vs_Haryana_Steelers_none_early_single||doordie_success_Bengaluru_Bulls_vs_Haryana_Steelers_none_early_single,3,2.0
doordie_unknown_Bengaluru_Bulls_vs_Haryana_Steelers_none_early_zero,16,-1.0
doordie_success_Bengaluru_Bulls_vs_Haryana_Steelers_none_early_single,10,-1.0
