pattern,support,gain
doordie_success_nan_vs_Dabang_Delhi_K.C._none_early_single||doordie_success_nan_vs_Dabang_Delhi_K.C._none_early_single,8,7.0
doordie_success_nan_vs_Dabang_Delhi_K.C._none_early_single||doordie_success_nan_vs_Dabang_Delhi_K.C._none_early_single||doordie_success_nan_vs_Dabang_Delhi_K.C._none_early_single,4,7.0
doordie_success_nan_vs_Dabang_Delhi_K.C._none_early_single||doordie_unknown_nan_vs_Dabang_Delhi_K.C._none_early_zero,5,4.0
doordie_unknown_nan_vs_Dabang_Delhi_K.C._none_early_zero||doordie_success_nan_vs_Dabang_Delhi_K.C._none_early_single,4,3.0
empty_unknown_nan_vs_Dabang_Delhi_K.C._none_early_zero||regular_success_nan_vs_Dabang_Delhi_K.C._none_early_single,3,2.0
doordie_success_nan_vs_Dabang_Delhi_K.C._none_early_single,16,-1.0
doordie_unknown_nan_vs_Dabang_Delhi_K.C._none_early_zero,7,-1.0
bonus_success_nan_vs_Dabang_Delhi_K.C._unknown_early_zero,5,-1.0
empty_unknown_nan_vs_Dabang_Delhi_K.C._none_early_zero,5,-1.0
regular_success_nan_vs_Dabang_Delhi_K.C._none_early_single,4,-1.0
