pattern,support,gain
doordie_success_Dabang_Delhi_vs_Telugu_Titans_none_early_single||doordie_success_Dabang_Delhi_vs_Telugu_Titans_none_early_single||doordie_success_Dabang_Delhi_vs_Telugu_Titans_none_early_single||doordie_success_Dabang_Delhi_vs_Telugu_Titans_none_early_single,11,32.0
doordie_success_Dabang_Delhi_vs_Telugu_Titans_none_early_single||doordie_success_Dabang_Delhi_vs_Telugu_Titans_none_early_single||doordie_success_Dabang_Delhi_vs_Telugu_Titans_none_early_single,16,31.0
doordie_success_Dabang_Delhi_vs_Telugu_Titans_none_early_single||doordie_success_Dabang_Delhi_vs_Telugu_Titans_none_early_single,24,23.0
doordie_success_Dabang_Delhi_vs_Telugu_Titans_none_early_single||doordie_unknown_Dabang_Delhi_vs_Telugu_Titans_none_early_zero||doordie_success_Dabang_Delhi_vs_Telugu_Titans_none_early_single,7,13.0
doordie_success_Dabang_Delhi_vs_Telugu_Titans_none_early_single||doordie_unknown_Dabang_Delhi_vs_Telugu_Titans_none_early_zero,11,10.0
doordie_unknown_Dabang_Delhi_vs_Telugu_Titans_none_early_zero||doordie_success_Dabang_Delhi_vs_Telugu_Titans_none_early_single,10,9.0
regular_success_Dabang_Delhi_vs_Telugu_Titans_none_early_single||regular_success_Dabang_Delhi_vs_Telugu_Titans_none_early_single,10,9.0
doordie_success_Dabang_Delhi_vs_Telugu_Titans_none_early_single,37,-1.0
regular_success_Dabang_Delhi_vs_Telugu_Titans_none_early_single,18,-1.0
doordie_unknown_Dabang_Delhi_vs_Telugu_Titans_none_early_zero,15,-1.0
