pattern,support,gain
doordie_unknown_Patna_Pirates_vs_Haryana_Steelers_none_early_zero||doordie_unknown_Patna_Pirates_vs_Haryana_Steelers_none_early_zero,2,1.0
bonus_success_Patna_Pirates_vs_Haryana_Steelers_right_cover_early_zero||doordie_unknown_Patna_Pirates_vs_Haryana_Steelers_none_early_zero,1,0.0
doordie_unknown_Patna_Pirates_vs_Haryana_Steelers_none_early_zero||doordie_success_Patna_Pirates_vs_Haryana_Steelers_none_early_single,1,0.0
doordie_success_Patna_Pirates_vs_Haryana_Steelers_none_early_single||doordie_success_Patna_Pirates_vs_Haryana_Steelers_none_early_single,1,0.0
doordie_unknown_Patna_Pirates_vs_Haryana_Steelers_none_early_zero,4,-1.0
doordie_success_Patna_Pirates_vs_Haryana_Steelers_none_early_single,2,-1.0
bonus_success_Patna_Pirates_vs_Haryana_Steelers_right_cover_early_zero,1,-1.0
doordie_unknown_Jaipur_Pink_Panthers_vs_Haryana_Steelers_none_early_zero,1,-1.0
regular_unknown_Jaipur_Pink_Panthers_vs_Haryana_Steelers_none_early_zero,1,-1.0
bonus_success_Jaipur_Pink_Panthers_vs_Haryana_Steelers_raider_early_zero,1,-1.0
