pattern,support,gain
doordie_success_Haryana_Steelers_vs_Puneri_Paltan_none_early_single||doordie_unknown_Haryana_Steelers_vs_Puneri_Paltan_none_early_zero,6,5.0
doordie_unknown_Haryana_Steelers_vs_Puneri_Paltan_none_early_zero||doordie_success_Haryana_Steelers_vs_Puneri_Paltan_none_early_single,4,3.0
doordie_unknown_Haryana_Steelers_vs_Puneri_Paltan_none_early_zero||doordie_unknown_Haryana_Steelers_vs_Puneri_Paltan_none_early_zero,3,2.0
doordie_unknown_Haryana_Steelers_vs_Puneri_Paltan_none_early_zero,13,-1.0
doordie_success_Haryana_Steelers_vs_Puneri_Paltan_none_early_single,12,-1.0
doordie_unknown_Jaipur_Pink_Panthers_vs_Puneri_Paltan_none_early_zero,3,-1.0
empty_unknown_Haryana_Steelers_vs_Puneri_Paltan_none_early_zero,2,-1.0
regular_success_Haryana_Steelers_vs_Puneri_Paltan_none_early_single,2,-1.0
bonus_success_Jaipur_Pink_Panthers_vs_Puneri_Paltan_null_early_zero,2,-1.0
doordie_success_Jaipur_Pink_Panthers_vs_Puneri_Paltan_none_early_single,2,-1.0
